source_sample,run_mode,source_row_index,project,module,focal_class,test_class,id_focal_class,arm,generator,prompt_technique,fairness_policy,generated_test_file,generated_test_file_exists,failure_markers,compilation,branch_coverage_compiled_only,line_coverage_compiled_only,method_coverage_compiled_only,mutation_score_compiled_only,branch_coverage_strict_zero_fill,line_coverage_strict_zero_fill,method_coverage_strict_zero_fill,mutation_score_strict_zero_fill,fail_stage
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,6,7283919,dbfit-java,TeradataDatePeriod,TeradataDatePeriodTest,7283919_TeradataDatePeriod,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/7283919/response_evosuite_TeradataDatePeriodTest.java,0,output/7283919/TestClasses_7283919_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,7,58767125,ch.obermuhlner.math.big,BigComplex,BigComplexTest,58767125_BigComplex,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/58767125/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_BigComplexTest.java,0,,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,7,58767125,ch.obermuhlner.math.big,BigComplex,BigComplexTest,58767125_BigComplex,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/58767125/response_evosuite_BigComplexTest.java,0,,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,8,56342003,kangaroo-server-authz,AbstractService,AbstractServiceTest,56342003_AbstractService,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_AbstractServiceTest.java,1,output/56342003/TestClasses_56342003_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,8,56342003,kangaroo-server-authz,AbstractService,AbstractServiceTest,56342003_AbstractService,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_evosuite_AbstractServiceTest.java,0,output/56342003/TestClasses_56342003_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,9,74217,flapjack-annotation,FieldLocator,FieldLocatorTest,74217_FieldLocator,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/74217/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_FieldLocatorTest.java,1,output/74217/TestClasses_74217_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,9,74217,flapjack-annotation,FieldLocator,FieldLocatorTest,74217_FieldLocator,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/74217/response_evosuite_FieldLocatorTest.java,0,output/74217/TestClasses_74217_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,10,74458764,session-replacement,CookieSessionTracking,TestCookieSessionTracking,74458764_CookieSessionTracking,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/74458764/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestCookieSessionTracking.java,1,output/74458764/TestClasses_74458764_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,10,74458764,session-replacement,CookieSessionTracking,TestCookieSessionTracking,74458764_CookieSessionTracking,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/74458764/response_evosuite_TestCookieSessionTracking.java,0,output/74458764/TestClasses_74458764_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,11,54231507,core,EventFiringWebDriver,EventFiringWebDriverTest,54231507_EventFiringWebDriver,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/54231507/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_EventFiringWebDriverTest.java,1,output/54231507/TestClasses_54231507_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,11,54231507,core,EventFiringWebDriver,EventFiringWebDriverTest,54231507_EventFiringWebDriver,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/54231507/response_evosuite_EventFiringWebDriverTest.java,1,output/54231507/TestClasses_54231507_evosuite.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,12,37728390,contrib/geomason,AttributeValue,AttributeValueTest,37728390_AttributeValue,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/37728390/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_AttributeValueTest.java,1,output/37728390/TestClasses_37728390_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,12,37728390,contrib/geomason,AttributeValue,AttributeValueTest,37728390_AttributeValue,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/37728390/response_evosuite_AttributeValueTest.java,0,output/37728390/TestClasses_37728390_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,14,50552134,confucius-commons-lang,SimpleClassScanner,SimpleClassScannerTest,50552134_SimpleClassScanner,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/50552134/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_SimpleClassScannerTest.java,1,output/50552134/TestClasses_50552134_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,1,91.67,90.0,100.0,77.78,91.67,90.0,100.0,77.78,ok
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,14,50552134,confucius-commons-lang,SimpleClassScanner,SimpleClassScannerTest,50552134_SimpleClassScanner,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/50552134/response_evosuite_SimpleClassScannerTest.java,1,,1,33.33,40.0,71.43,11.11,33.33,40.0,71.43,11.11,ok
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,15,771158,common,StatementComparator,StatementComparatorTest,771158_StatementComparator,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/771158/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_StatementComparatorTest.java,1,output/771158/TestClasses_771158_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,15,771158,common,StatementComparator,StatementComparatorTest,771158_StatementComparator,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/771158/response_evosuite_StatementComparatorTest.java,1,,1,50.0,61.11,100.0,14.29,50.0,61.11,100.0,14.29,ok
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,16,5175291,airship-shared,Strings,TestStrings,5175291_Strings,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/5175291/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestStrings.java,1,output/5175291/TestClasses_5175291_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,16,5175291,airship-shared,Strings,TestStrings,5175291_Strings,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/5175291/response_evosuite_TestStrings.java,1,output/5175291/TestClasses_5175291_evosuite.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,17,3526892,core,Pricing,PricingTest,3526892_Pricing,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/3526892/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_PricingTest.java,1,output/3526892/TestClasses_3526892_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,17,3526892,core,Pricing,PricingTest,3526892_Pricing,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/3526892/response_evosuite_PricingTest.java,0,output/3526892/TestClasses_3526892_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,18,812511,ssl-proxies,SimpleMemoryCertStore,SimpleMemoryCertStoreTest,812511_SimpleMemoryCertStore,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/812511/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_SimpleMemoryCertStoreTest.java,1,output/812511/TestClasses_812511_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,18,812511,ssl-proxies,SimpleMemoryCertStore,SimpleMemoryCertStoreTest,812511_SimpleMemoryCertStore,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/812511/response_evosuite_SimpleMemoryCertStoreTest.java,0,output/812511/TestClasses_812511_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,19,57251243,wingtips-jersey2,SpanCustomizingApplicationEventListener,SpanCustomizingApplicationEventListenerTest,57251243_SpanCustomizingApplicationEventListener,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/57251243/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_SpanCustomizingApplicationEventListenerTest.java,1,output/57251243/TestClasses_57251243_gpt-4o-mini-2024-07-18_rbl4-zero-shot.gradlefailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,19,57251243,wingtips-jersey2,SpanCustomizingApplicationEventListener,SpanCustomizingApplicationEventListenerTest,57251243_SpanCustomizingApplicationEventListener,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/57251243/response_evosuite_SpanCustomizingApplicationEventListenerTest.java,0,output/57251243/TestClasses_57251243_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,20,70711909,examples/here-oauth-client-example,GetHereClientCredentialsIdTokenTutorial,GetHereClientCredentialsIdTokenTutorialTest,70711909_GetHereClientCredentialsIdTokenTutorial,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/70711909/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_GetHereClientCredentialsIdTokenTutorialTest.java,1,output/70711909/TestClasses_70711909_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,20,70711909,examples/here-oauth-client-example,GetHereClientCredentialsIdTokenTutorial,GetHereClientCredentialsIdTokenTutorialTest,70711909_GetHereClientCredentialsIdTokenTutorial,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/70711909/response_evosuite_GetHereClientCredentialsIdTokenTutorialTest.java,0,output/70711909/TestClasses_70711909_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,21,89562636,coap-core,CoapServer,CoapServerTest,89562636_CoapServer,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_CoapServerTest.java,1,output/89562636/TestClasses_89562636_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,21,89562636,coap-core,CoapServer,CoapServerTest,89562636_CoapServer,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_evosuite_CoapServerTest.java,1,,1,52.94,61.47,71.88,13.04,52.94,61.47,71.88,13.04,ok
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,22,38080174,cloud-ot,OTAlgorithms,OTAlgorithmsTest,38080174_OTAlgorithms,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/38080174/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_OTAlgorithmsTest.java,1,output/38080174/TestClasses_38080174_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,22,38080174,cloud-ot,OTAlgorithms,OTAlgorithmsTest,38080174_OTAlgorithms,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/38080174/response_evosuite_OTAlgorithmsTest.java,0,output/38080174/TestClasses_38080174_evosuite.failed,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,23,54620819,mvn-golang-wrapper,GolangBuildMojo,GolangBuildMojoTest,54620819_GolangBuildMojo,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/54620819/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_GolangBuildMojoTest.java,1,output/54620819/TestClasses_54620819_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\pilot_delivery\pilot_delivery\pilot_bundle_24\output\pilot_24_classes.csv,full_run,23,54620819,mvn-golang-wrapper,GolangBuildMojo,GolangBuildMojoTest,54620819_GolangBuildMojo,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/54620819/response_evosuite_GolangBuildMojoTest.java,1,,1,77.5,77.63,90.48,17.5,77.5,77.63,90.48,17.5,ok
