sample_index,class_key,project,repo_id,module,scope_key,build_tool,focal_class,test_class,status,fail_stage,duration_sec,sandbox_path,detail,source_run_id,source_run_sample_index
34,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/config/configurationnode.java,60578004,60578004,elastic-jobx-core,maven:elastic-jobx-core,Maven,ConfigurationNode,ConfigurationNode_RBL4_5ed65ca9Test,PASS,ok,11.205,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\105_60578004_5ed65ca9,sandbox readiness passed,20260724_022225_resume240,105
35,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/payload/formdatapayload.java,558963,558963,httpcache4j-api,maven:httpcache4j-api,Maven,FormDataPayload,FormDataPayload_RBL4_fff81761Test,PASS,ok,5.157,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\096_558963_fff81761,sandbox readiness passed,20260724_022225_resume240,96
36,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/voidtypeusage.java,41547678,41547678,turin-compiler,maven:turin-compiler,Maven,VoidTypeUsage,VoidTypeUsage_RBL4_cbda56d1Test,PASS,ok,22.712,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\024_41547678_cbda56d1,sandbox readiness passed,20260724_022225_resume240,24
37,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,WebRex,maven:WebRex,Maven,ResourceWrapper,ResourceWrapper_RBL4Test_5b1f1ebf,PASS,ok,9.905,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\014_45997449_ResourceWrapper_5b1f1ebf,sandbox readiness passed,pilot60_resume_20260724_083102,14
38,77481567:core/src/main/java/de/voidnode/trading4j/indicators/adx/truerange.java,77481567,77481567,core,maven:core,Maven,TrueRange,TrueRange_RBL4_8c7aa6c3Test,PASS,ok,7.763,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\169_77481567_8c7aa6c3,sandbox readiness passed,20260724_022225_resume240,169
39,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/invertbinarytree/solution.java,41627638,41627638,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,Solution,Solution_RBL4_900e296fTest,PASS,ok,17.603,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\033_41627638_900e296f,sandbox readiness passed,20260724_022225_resume240,33
40,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/securemultipleannotationhandler.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,SecureMultipleAnnotationHandler,SecureMultipleAnnotationHandler_RBL4_3b15123aTest,PASS,ok,28.926,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\233_9884445_3b15123a,sandbox readiness passed,20260724_022225_resume240,233
41,78444970:examples/graph/src/main/java/graph/algorithm/color/welshpowell.java,78444970,78444970,examples/graph,maven:examples/graph,Maven,WelshPowell,WelshPowell_RBL4_a5bc6a77Test,PASS,ok,21.397,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\176_78444970_a5bc6a77,sandbox readiness passed,20260724_022225_resume240,176
42,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/annotation/nodoubleclassdefined.java,97822421,97822421,infrastructure,maven:infrastructure,Maven,NoDoubleClassDefined,NoDoubleClassDefined_RBL4_f739e0feTest,PASS,ok,0.438,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\217_97822421_f739e0fe,sandbox readiness passed,20260724_022225_resume240,217
43,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/http2goawayeventlistener.java,95247959,95247959,http-clients/netty-nio-client,maven:http-clients/netty-nio-client,Maven,Http2GoAwayEventListener,Http2GoAwayEventListener_RBL4Test_729d1168,PASS,ok,354.838,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\050_95247959_Http2GoAwayEventListener_729d1168,sandbox readiness passed,pilot60_resume_20260724_083102,50
44,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maximumdepthofbinarytree/solution.java,41627638,41627638,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,Solution,Solution_RBL4_194905a6Test,PASS,ok,34.16,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\034_41627638_194905a6,sandbox readiness passed,20260724_022225_resume240,34
45,3713233:core/src/main/java/org/junithelper/core/util/threadutil.java,3713233,3713233,core,maven:core,Maven,ThreadUtil,ThreadUtil_RBL4_f790382eTest,PASS,ok,6.042,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\001_3713233_f790382e,sandbox readiness passed,20260724_022225_resume240,1
46,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/mockclassresolver.java,97822421,97822421,infrastructure,maven:infrastructure,Maven,MockClassResolver,MockClassResolver_RBL4_7e494c92Test,PASS,ok,0.414,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\218_97822421_7e494c92,sandbox readiness passed,20260724_022225_resume240,218
47,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/response/terminateexecution.java,44308560,44308560,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,TerminateExecution,TerminateExecution_RBL4_2bc9cc41Test,PASS,ok,120.575,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\048_44308560_2bc9cc41,sandbox readiness passed,20260724_022225_resume240,48
48,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/response/evaluatecondition.java,44308560,44308560,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,EvaluateCondition,EvaluateCondition_RBL4_00edbe66Test,PASS,ok,112.136,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\049_44308560_00edbe66,sandbox readiness passed,20260724_022225_resume240,49
49,77481567:core/src/main/java/de/voidnode/trading4j/functionality/timeframeconversion/timeframeconvertingtradeguard.java,77481567,77481567,core,maven:core,Maven,TimeFrameConvertingTradeGuard,TimeFrameConvertingTradeGuard_RBL4_5d305145Test,PASS,ok,6.708,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\170_77481567_5d305145,sandbox readiness passed,20260724_022225_resume240,170
50,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/app.java,64487983,64487983,hexagonal,maven:hexagonal,Maven,App,App_RBL4_735c5bfeTest,PASS,ok,3.927,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\141_64487983_735c5bfe,sandbox readiness passed,20260724_022225_resume240,141
51,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/toomanykeyscheck.java,39195736,39195736,jproperties-checks,maven:jproperties-checks,Maven,TooManyKeysCheck,TooManyKeysCheck_RBL4_3d24a470Test,PASS,ok,16.397,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\017_39195736_3d24a470,sandbox readiness passed,20260724_022225_resume240,17
52,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/assign.java,46396068,46396068,hbase0.98/hbase-manager-0.98,maven:hbase0.98/hbase-manager-0.98,Maven,Assign,Assign_RBL4_9ed5bed6Test,PASS,ok,39.21,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\064_46396068_9ed5bed6,sandbox readiness passed,20260724_022225_resume240,64
53,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/elementcollectionannotationhandler.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,ElementCollectionAnnotationHandler,ElementCollectionAnnotationHandler_RBL4_7e40a186Test,PASS,ok,29.677,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\234_9884445_7e40a186,sandbox readiness passed,20260724_022225_resume240,234
54,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/resource/metadata/resourcemetadatabuilder.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,ResourceMetaDataBuilder,ResourceMetaDataBuilder_RBL4_c1478021Test,PASS,ok,33.454,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\235_9884445_c1478021,sandbox readiness passed,20260724_022225_resume240,235
55,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/searchableannotationhandler.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,SearchableAnnotationHandler,SearchableAnnotationHandler_RBL4_19519df8Test,PASS,ok,39.132,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\236_9884445_19519df8,sandbox readiness passed,20260724_022225_resume240,236
56,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/jsonhelper.java,49384652,49384652,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,Maven,JsonHelper,JsonHelper_RBL4_c3d480dcTest,PASS,ok,24.013,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\088_49384652_c3d480dc,sandbox readiness passed,20260724_022225_resume240,88
57,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/definition/registry/doubleconfigurationresolver.java,97822421,97822421,infrastructure,maven:infrastructure,Maven,DoubleConfigurationResolver,DoubleConfigurationResolver_RBL4_f449ae5fTest,PASS,ok,0.488,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\219_97822421_f449ae5f,sandbox readiness passed,20260724_022225_resume240,219
58,41547678:turin-standard-library/src/main/java/turin/context/context.java,41547678,41547678,turin-standard-library,maven:turin-standard-library,Maven,Context,Context_RBL4Test_34266f79,PASS,ok,8.687,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\006_41547678_Context_34266f79,sandbox readiness passed,pilot60_resume_20260724_083102,6
59,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/keynamingconventioncheck.java,39195736,39195736,jproperties-checks,maven:jproperties-checks,Maven,KeyNamingConventionCheck,KeyNamingConventionCheck_RBL4_e39f864dTest,PASS,ok,18.978,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\018_39195736_e39f864d,sandbox readiness passed,20260724_022225_resume240,18
60,46450575:contrib/flo-bigquery/src/main/java/com/spotify/flo/contrib/bigquery/bigqueryoperator.java,46450575,46450575,contrib/flo-bigquery,maven:contrib/flo-bigquery,Maven,BigQueryOperator,BigQueryOperator_RBL4_6f1aba76Test,PASS,ok,23.238,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\075_46450575_6f1aba76,sandbox readiness passed,20260724_022225_resume240,75
61,78444970:examples/structures/src/main/java/ds/stack/arraystack.java,78444970,78444970,examples/structures,maven:examples/structures,Maven,ArrayStack,ArrayStack_RBL4_b8276d51Test,PASS,ok,21.376,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\177_78444970_b8276d51,sandbox readiness passed,20260724_022225_resume240,177
62,98410891:core/src/main/java/com/softavail/commsrouter/eval/rsqlevaluatorfactory.java,98410891,98410891,core,maven:core,Maven,RsqlEvaluatorFactory,RsqlEvaluatorFactory_RBL4_fb92d911Test,PASS,ok,33.14,D:\A_ThucNghiem\scripts_v2\workspaces\20260724_010022_d3f7f7b1__baseline_readiness\224_98410891_fb92d911,sandbox readiness passed,20260724_022225_resume240,224
