source_sample,run_mode,source_row_index,project,module,focal_class,test_class,id_focal_class,arm,generator,prompt_technique,fairness_policy,generated_test_file,generated_test_file_exists,failure_markers,baseline_build_status,baseline_build_detail,compilation,branch_coverage_compiled_only,line_coverage_compiled_only,method_coverage_compiled_only,mutation_score_compiled_only,branch_coverage_strict_zero_fill,line_coverage_strict_zero_fill,method_coverage_strict_zero_fill,mutation_score_strict_zero_fill,fail_stage
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,12,56342003,kangaroo-server-authz,AbstractService,AbstractServiceTest,56342003_AbstractService,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_AbstractServiceTest.java,1,output/56342003/TestClasses_56342003_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,12,56342003,kangaroo-server-authz,AbstractService,AbstractServiceTest,56342003_AbstractService,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_evosuite_AbstractServiceTest.java,0,output/56342003/TestClasses_56342003_evosuite.failed;output/56342003/TestClasses_56342003_evosuite.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,13,56342003,kangaroo-server-authz,ValidationUtil,ValidationUtilTest,56342003_ValidationUtil,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ValidationUtilTest.java,0,output/56342003/TestClasses_56342003_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,13,56342003,kangaroo-server-authz,ValidationUtil,ValidationUtilTest,56342003_ValidationUtil,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_evosuite_ValidationUtilTest.java,0,output/56342003/TestClasses_56342003_evosuite.failed;output/56342003/TestClasses_56342003_evosuite.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,14,56342003,kangaroo-common,RequestUtil,RequestUtilTest,56342003_RequestUtil,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_RequestUtilTest.java,1,output/56342003/TestClasses_56342003_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,14,56342003,kangaroo-common,RequestUtil,RequestUtilTest,56342003_RequestUtil,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/56342003/response_evosuite_RequestUtilTest.java,1,output/56342003/TestClasses_56342003_evosuite.failed;output/56342003/TestClasses_56342003_evosuite.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,15,3526892,core,ProjectCommandExecutor,ProjectCommandExecutorTest,3526892_ProjectCommandExecutor,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/3526892/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ProjectCommandExecutorTest.java,1,output/3526892/TestClasses_3526892_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,15,3526892,core,ProjectCommandExecutor,ProjectCommandExecutorTest,3526892_ProjectCommandExecutor,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/3526892/response_evosuite_ProjectCommandExecutorTest.java,1,output/3526892/TestClasses_3526892_evosuite.failed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,1,41.67,57.14,81.82,8.0,41.67,57.14,81.82,8.0,ok
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,16,89562636,coap-core,TransactionManager,TransactionManagerTest,89562636_TransactionManager,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TransactionManagerTest.java,0,output/89562636/TestClasses_89562636_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,16,89562636,coap-core,TransactionManager,TransactionManagerTest,89562636_TransactionManager,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_evosuite_TransactionManagerTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,17,89562636,coap-core,CoapPacket,CoapPacketTest,89562636_CoapPacket,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_CoapPacketTest.java,0,output/89562636/TestClasses_89562636_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,17,89562636,coap-core,CoapPacket,CoapPacketTest,89562636_CoapPacket,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_evosuite_CoapPacketTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,18,89562636,coap-core,CoapTcpCSM,CoapTcpCSMTest,89562636_CoapTcpCSM,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_CoapTcpCSMTest.java,0,output/89562636/TestClasses_89562636_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,18,89562636,coap-core,CoapTcpCSM,CoapTcpCSMTest,89562636_CoapTcpCSM,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/89562636/response_evosuite_CoapTcpCSMTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,19,771158,common,StatementComparator,StatementComparatorTest,771158_StatementComparator,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/771158/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_StatementComparatorTest.java,1,output/771158/TestClasses_771158_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,19,771158,common,StatementComparator,StatementComparatorTest,771158_StatementComparator,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/771158/response_evosuite_StatementComparatorTest.java,1,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,20,5175291,airship-coordinator,AdminResource,TestAdminResource,5175291_AdminResource,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/5175291/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestAdminResource.java,1,output/5175291/TestClasses_5175291_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,20,5175291,airship-coordinator,AdminResource,TestAdminResource,5175291_AdminResource,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/5175291/response_evosuite_TestAdminResource.java,0,output/5175291/TestClasses_5175291_evosuite.failed;output/5175291/TestClasses_5175291_evosuite.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generation_or_build_failed_marker
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,21,5175291,airship-shared,MavenCoordinates,TestMavenCoordinates,5175291_MavenCoordinates,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/5175291/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestMavenCoordinates.java,1,output/5175291/TestClasses_5175291_gpt-4o-mini-2024-07-18_rbl4-zero-shot.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,21,5175291,airship-shared,MavenCoordinates,TestMavenCoordinates,5175291_MavenCoordinates,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/5175291/response_evosuite_TestMavenCoordinates.java,1,output/5175291/TestClasses_5175291_evosuite.failed;output/5175291/TestClasses_5175291_evosuite.mavenfailed,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,generated_test_no_successful_build_or_metrics
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,22,5745625,tape,ObjectQueue,ObjectQueueTest,5745625_ObjectQueue,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/5745625/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_ObjectQueueTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,22,5745625,tape,ObjectQueue,ObjectQueueTest,5745625_ObjectQueue,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/5745625/response_evosuite_ObjectQueueTest.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,23,960343,3-sat-core,SimpleTier,TestSimpleTier,960343_SimpleTier,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/960343/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestSimpleTier.java,0,,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,23,960343,3-sat-core,SimpleTier,TestSimpleTier,960343_SimpleTier,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/960343/response_evosuite_TestSimpleTier.java,0,,PASS,requested=1.6 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,24,82282677,timingframework-core,TimingSource,TestTimingSource,82282677_TimingSource,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,no_repair_no_source_fix_generated_failures_zero_filled,output/82282677/response_gpt-4o-mini-2024-07-18_rbl4-zero-shot_TestTimingSource.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
D:\balanced_delivery\balanced_bundle_300\output\pilot_60_classes.csv,full_run,24,82282677,timingframework-core,TimingSource,TestTimingSource,82282677_TimingSource,evosuite,evosuite,-,no_repair_no_source_fix_generated_failures_zero_filled,output/82282677/response_evosuite_TestTimingSource.java,0,,PASS,requested=1.8 selected_jdk=8 java_home=C:\Program Files\Java\jdk1.8.0_172,0,,,,,0.0,0.0,0.0,0.0,missing_output
