sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
23,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobserviceimpl.java,49384652,49384652,StandbyJobServiceImpl,niubi-job-framework/niubi-job-service,higher_complexity_half,0.0,0.0,0.0,5.0
24,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/header.java,558963,558963,Header,httpcache4j-api,lower_complexity_half,0.0,50.0,-50.0,-45.0
25,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/status.java,558963,558963,Status,httpcache4j-api,higher_complexity_half,87.5,12.5,75.0,80.0
26,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/api/jobexecutionmultipleshardingcontext.java,60578004,60578004,JobExecutionMultipleShardingContext,elastic-jobx-core,lower_complexity_half,66.67,0.0,66.67,71.67
27,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/serverservice.java,60578004,60578004,ServerService,elastic-jobx-core,higher_complexity_half,0.0,0.0,0.0,5.0
28,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/typesafeannotationhandler.java,61565876,61565876,TypeSafeAnnotationHandler,injector,lower_complexity_half,0.0,0.0,0.0,5.0
29,61565876:injector/src/main/java/ch/jalu/injector/utils/injectorutils.java,61565876,61565876,InjectorUtils,injector,higher_complexity_half,0.0,0.0,0.0,5.0
30,6293402:server/src/main/java/com/vaadin/data/provider/listdataprovider.java,6293402,6293402,ListDataProvider,server,lower_complexity_half,0.0,0.0,0.0,5.0
31,6293402:server/src/main/java/com/vaadin/util/currentinstance.java,6293402,6293402,CurrentInstance,server,higher_complexity_half,0.0,0.0,0.0,5.0
32,6437134:enav-model/src/main/java/dk/dma/enav/safety/safetyzones.java,6437134,6437134,SafetyZones,enav-model,lower_complexity_half,0.0,0.0,0.0,5.0
33,6437134:enav-model/src/main/java/dk/dma/enav/model/geometry/positiontime.java,6437134,6437134,PositionTime,enav-model,higher_complexity_half,20.51,23.08,-2.5699999999999967,2.4300000000000033
34,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,64487983,64487983,App,bridge,lower_complexity_half,0.0,0.0,0.0,5.0
35,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/domain/lotteryticket.java,64487983,64487983,LotteryTicket,hexagonal,higher_complexity_half,0.0,25.93,-25.93,-20.93
36,66303306:event/src/main/java/com/bazaarvoice/emodb/event/db/astyanax/defaultslaballocator.java,66303306,66303306,DefaultSlabAllocator,event,lower_complexity_half,0.0,13.16,-13.16,-8.16
37,66303306:web/src/main/java/com/bazaarvoice/emodb/web/settings/settingsmanager.java,66303306,66303306,SettingsManager,web,higher_complexity_half,0.0,11.54,-11.54,-6.539999999999999
38,6944525:d2/src/main/java/com/linkedin/d2/balancer/zkfs/zkfsutil.java,6944525,6944525,ZKFSUtil,d2,lower_complexity_half,0.0,0.0,0.0,5.0
39,6944525:d2/src/main/java/com/linkedin/d2/balancer/util/loadbalancerutil.java,6944525,6944525,LoadBalancerUtil,d2,higher_complexity_half,0.0,0.0,0.0,5.0
40,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,74999474,74999474,ParsecAsyncCompletionHandlerBase,parsec-clients,lower_complexity_half,0.0,0.0,0.0,5.0
41,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynchttpclient.java,74999474,74999474,ParsecAsyncHttpClient,parsec-clients,higher_complexity_half,0.0,0.0,0.0,5.0
42,77481567:core/src/main/java/de/voidnode/trading4j/moneymanagement/standard/riskmoneyprovider.java,77481567,77481567,RiskMoneyProvider,core,lower_complexity_half,0.0,0.0,0.0,5.0
43,77481567:core/src/main/java/de/voidnode/trading4j/api/failed.java,77481567,77481567,Failed,core,higher_complexity_half,0.0,0.0,0.0,5.0
44,78444970:examples/graph/src/main/java/graph/algorithm/mst/boruvkakruskal.java,78444970,78444970,BoruvkaKruskal,examples/graph,lower_complexity_half,0.0,0.0,0.0,5.0
45,78444970:examples/random/src/main/java/random/reservoirsamplingmultipleitems.java,78444970,78444970,ReservoirSamplingMultipleItems,examples/random,higher_complexity_half,70.0,30.0,40.0,45.0
46,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/spark/flaggingvisitor.java,81384608,81384608,FlaggingVisitor,integrations/spark/spark-catalog/spark-catalog-core,lower_complexity_half,0.0,0.0,0.0,5.0
47,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/abstractjdbcdatasetprovider.java,81384608,81384608,AbstractJdbcDataSetProvider,integrations/spark/spark-catalog/spark-catalog-core,higher_complexity_half,0.0,0.0,0.0,5.0
48,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardmetricssystemfactory.java,85795396,85795396,DropwizardMetricsSystemFactory,metrics-dropwizardmetrics,lower_complexity_half,0.0,0.0,0.0,5.0
49,85795396:core/src/main/java/org/apache/calcite/avatica/connectionconfigimpl.java,85795396,85795396,ConnectionConfigImpl,core,higher_complexity_half,0.0,0.0,0.0,5.0
50,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/http2goawayeventlistener.java,95247959,95247959,Http2GoAwayEventListener,http-clients/netty-nio-client,lower_complexity_half,0.0,0.0,0.0,5.0
51,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/httporhttp2channelpool.java,95247959,95247959,HttpOrHttp2ChannelPool,http-clients/netty-nio-client,higher_complexity_half,0.0,0.0,0.0,5.0
52,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/query/simpledbqueryrunner.java,9619226,9619226,SimpleDbQueryRunner,spring-data-simpledb-impl,lower_complexity_half,0.0,45.0,-45.0,-40.0
53,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/attributeutil/simpledbattributevaluesplitter.java,9619226,9619226,SimpleDbAttributeValueSplitter,spring-data-simpledb-impl,higher_complexity_half,0.0,4.55,-4.55,0.4500000000000002
54,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/doubledefinitionsregistrationcontext.java,97822421,97822421,DoubleDefinitionsRegistrationContext,infrastructure,lower_complexity_half,0.0,12.5,-12.5,-7.5
55,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/tospyreplacingprocessor.java,97822421,97822421,ToSpyReplacingProcessor,infrastructure,higher_complexity_half,0.0,5.0,-5.0,0.0
56,98410891:core/src/main/java/com/softavail/commsrouter/eval/jevalevaluator.java,98410891,98410891,JEvalEvaluator,core,lower_complexity_half,0.0,11.11,-11.11,-6.109999999999999
57,98410891:core-interface/src/main/java/com/softavail/commsrouter/api/dto/model/skill/numberinterval.java,98410891,98410891,NumberInterval,core-interface,higher_complexity_half,55.26,31.58,23.68,28.68
58,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,9884445,9884445,SecureAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs,lower_complexity_half,100.0,0.0,100.0,105.0
59,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/entitynode.java,9884445,9884445,EntityNode,minnal-jaxrs/minnal-instrumentation-jaxrs,higher_complexity_half,0.0,0.0,0.0,5.0
