sample_index,class_key,project,repo_id,module,scope_key,build_tool,focal_class,test_class,status,fail_stage,duration_sec,sandbox_path,detail
10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,weixin-mp,maven:weixin-mp,Maven,CareMessages,CareMessages_RBL4Test_737b9436,PASS,ok,22.747,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\010_43105609_CareMessages_737b9436,sandbox readiness passed
11,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/media/materials.java,43105609,43105609,weixin-mp,maven:weixin-mp,Maven,Materials,Materials_RBL4Test_a90c8766,PASS,ok,8.823,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\011_43105609_Materials_a90c8766,sandbox readiness passed
12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,44308560,44308560,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,ArgumentsFile,ArgumentsFile_RBL4Test_19fe2f02,PASS,ok,111.679,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\012_44308560_ArgumentsFile_19fe2f02,sandbox readiness passed
13,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/stackframevariables.java,44308560,44308560,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,StackFrameVariables,StackFrameVariables_RBL4Test_996db0ed,PASS,ok,111.664,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\013_44308560_StackFrameVariables_996db0ed,sandbox readiness passed
14,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,WebRex,maven:WebRex,Maven,ResourceWrapper,ResourceWrapper_RBL4Test_5b1f1ebf,PASS,ok,9.905,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\014_45997449_ResourceWrapper_5b1f1ebf,sandbox readiness passed
15,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/resourceelevaluator.java,45997449,45997449,WebRex,maven:WebRex,Maven,ResourceELEvaluator,ResourceELEvaluator_RBL4Test_44ed24a7,PASS,ok,0.472,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\015_45997449_ResourceELEvaluator_44ed24a7,sandbox readiness passed
16,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,46396068,46396068,hbase0.98/hbase-common-0.98,maven:hbase0.98/hbase-common-0.98,Maven,AlertSender,AlertSender_RBL4Test_ed64392c,PASS,ok,6.642,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\016_46396068_AlertSender_ed64392c,sandbox readiness passed
17,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/mc.java,46396068,46396068,hbase0.98/hbase-manager-0.98,maven:hbase0.98/hbase-manager-0.98,Maven,MC,MC_RBL4Test_d7f89729,PASS,ok,48.609,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\017_46396068_MC_d7f89729,sandbox readiness passed
18,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,flo-workflow,maven:flo-workflow,Maven,AsyncContext,AsyncContext_RBL4Test_acb5f0dc,PASS,ok,19.041,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\018_46450575_AsyncContext_acb5f0dc,sandbox readiness passed
19,46450575:flo-workflow/src/main/java/com/spotify/flo/taskids.java,46450575,46450575,flo-workflow,maven:flo-workflow,Maven,TaskIds,TaskIds_RBL4Test_b7d06a10,PASS,ok,12.226,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\019_46450575_TaskIds_b7d06a10,sandbox readiness passed
20,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/jetclientinstanceimpl.java,48046454,48046454,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,JetClientInstanceImpl,JetClientInstanceImpl_RBL4Test_5e8ad51c,PASS,ok,73.027,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\020_48046454_JetClientInstanceImpl_5e8ad51c,sandbox readiness passed
21,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/skewreductionpolicy.java,48046454,48046454,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,SkewReductionPolicy,SkewReductionPolicy_RBL4Test_80a96ca0,PASS,ok,62.93,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\021_48046454_SkewReductionPolicy_80a96ca0,sandbox readiness passed
22,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/objecthelper.java,49384652,49384652,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,Maven,ObjectHelper,ObjectHelper_RBL4Test_3f333538,PASS,ok,24.236,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\022_49384652_ObjectHelper_3f333538,sandbox readiness passed
23,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobserviceimpl.java,49384652,49384652,niubi-job-framework/niubi-job-service,maven:niubi-job-framework/niubi-job-service,Maven,StandbyJobServiceImpl,StandbyJobServiceImpl_RBL4Test_06be1a5a,PASS,ok,22.292,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\023_49384652_StandbyJobServiceImpl_06be1a5a,sandbox readiness passed
24,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/header.java,558963,558963,httpcache4j-api,maven:httpcache4j-api,Maven,Header,Header_RBL4Test_81a76271,PASS,ok,6.383,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\024_558963_Header_81a76271,sandbox readiness passed
25,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/status.java,558963,558963,httpcache4j-api,maven:httpcache4j-api,Maven,Status,Status_RBL4Test_095adb46,PASS,ok,0.293,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\025_558963_Status_095adb46,sandbox readiness passed
26,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/api/jobexecutionmultipleshardingcontext.java,60578004,60578004,elastic-jobx-core,maven:elastic-jobx-core,Maven,JobExecutionMultipleShardingContext,JobExecutionMultipleShardingContext_RBL4Test_c6723af1,PASS,ok,14.795,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\026_60578004_JobExecutionMultipleShardingContext_c6723af1,sandbox readiness passed
27,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/serverservice.java,60578004,60578004,elastic-jobx-core,maven:elastic-jobx-core,Maven,ServerService,ServerService_RBL4Test_c34449d1,PASS,ok,5.075,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\027_60578004_ServerService_c34449d1,sandbox readiness passed
28,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/typesafeannotationhandler.java,61565876,61565876,injector,maven:injector,Maven,TypeSafeAnnotationHandler,TypeSafeAnnotationHandler_RBL4Test_35218d3d,PASS,ok,5.015,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\028_61565876_TypeSafeAnnotationHandler_35218d3d,sandbox readiness passed
29,61565876:injector/src/main/java/ch/jalu/injector/utils/injectorutils.java,61565876,61565876,injector,maven:injector,Maven,InjectorUtils,InjectorUtils_RBL4Test_32d528d0,PASS,ok,0.378,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\029_61565876_InjectorUtils_32d528d0,sandbox readiness passed
30,6293402:server/src/main/java/com/vaadin/data/provider/listdataprovider.java,6293402,6293402,server,maven:server,Maven,ListDataProvider,ListDataProvider_RBL4Test_d31191e9,PASS,ok,232.714,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\030_6293402_ListDataProvider_d31191e9,sandbox readiness passed
31,6293402:server/src/main/java/com/vaadin/util/currentinstance.java,6293402,6293402,server,maven:server,Maven,CurrentInstance,CurrentInstance_RBL4Test_2f6a5671,PASS,ok,232.71,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\031_6293402_CurrentInstance_2f6a5671,sandbox readiness passed
32,6437134:enav-model/src/main/java/dk/dma/enav/safety/safetyzones.java,6437134,6437134,enav-model,maven:enav-model,Maven,SafetyZones,SafetyZones_RBL4Test_d088ee82,PASS,ok,10.232,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\032_6437134_SafetyZones_d088ee82,sandbox readiness passed
33,6437134:enav-model/src/main/java/dk/dma/enav/model/geometry/positiontime.java,6437134,6437134,enav-model,maven:enav-model,Maven,PositionTime,PositionTime_RBL4Test_e9d79346,PASS,ok,7.076,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\033_6437134_PositionTime_e9d79346,sandbox readiness passed
34,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,64487983,64487983,bridge,maven:bridge,Maven,App,App_RBL4Test_58f65afc,PASS,ok,33.831,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\034_64487983_App_58f65afc,sandbox readiness passed
35,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/domain/lotteryticket.java,64487983,64487983,hexagonal,maven:hexagonal,Maven,LotteryTicket,LotteryTicket_RBL4Test_81d1374a,PASS,ok,2.263,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\035_64487983_LotteryTicket_81d1374a,sandbox readiness passed
36,66303306:event/src/main/java/com/bazaarvoice/emodb/event/db/astyanax/defaultslaballocator.java,66303306,66303306,event,maven:event,Maven,DefaultSlabAllocator,DefaultSlabAllocator_RBL4Test_b8c57976,PASS,ok,66.834,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\036_66303306_DefaultSlabAllocator_b8c57976,sandbox readiness passed
37,66303306:web/src/main/java/com/bazaarvoice/emodb/web/settings/settingsmanager.java,66303306,66303306,web,maven:web,Maven,SettingsManager,SettingsManager_RBL4Test_92b68acb,PASS,ok,104.824,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\037_66303306_SettingsManager_92b68acb,sandbox readiness passed
38,6944525:d2/src/main/java/com/linkedin/d2/balancer/zkfs/zkfsutil.java,6944525,6944525,d2,gradle:d2,Gradle,ZKFSUtil,ZKFSUtil_RBL4Test_ba0e160d,PASS,ok,212.863,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\038_6944525_ZKFSUtil_ba0e160d,sandbox readiness passed
39,6944525:d2/src/main/java/com/linkedin/d2/balancer/util/loadbalancerutil.java,6944525,6944525,d2,gradle:d2,Gradle,LoadBalancerUtil,LoadBalancerUtil_RBL4Test_fa60eb27,PASS,ok,205.692,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\039_6944525_LoadBalancerUtil_fa60eb27,sandbox readiness passed
40,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynccompletionhandlerbase.java,74999474,74999474,parsec-clients,gradle:parsec-clients,Gradle,ParsecAsyncCompletionHandlerBase,ParsecAsyncCompletionHandlerBase_RBL4Test_d0018ed9,PASS,ok,12.759,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\040_74999474_ParsecAsyncCompletionHandlerBase_d0018ed9,sandbox readiness passed
41,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/parsecasynchttpclient.java,74999474,74999474,parsec-clients,gradle:parsec-clients,Gradle,ParsecAsyncHttpClient,ParsecAsyncHttpClient_RBL4Test_b68a888f,PASS,ok,10.105,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\041_74999474_ParsecAsyncHttpClient_b68a888f,sandbox readiness passed
42,77481567:core/src/main/java/de/voidnode/trading4j/moneymanagement/standard/riskmoneyprovider.java,77481567,77481567,core,maven:core,Maven,RiskMoneyProvider,RiskMoneyProvider_RBL4Test_040b3628,PASS,ok,2.955,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\042_77481567_RiskMoneyProvider_040b3628,sandbox readiness passed
43,77481567:core/src/main/java/de/voidnode/trading4j/api/failed.java,77481567,77481567,core,maven:core,Maven,Failed,Failed_RBL4Test_3e31fae6,PASS,ok,0.443,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\043_77481567_Failed_3e31fae6,sandbox readiness passed
44,78444970:examples/graph/src/main/java/graph/algorithm/mst/boruvkakruskal.java,78444970,78444970,examples/graph,maven:examples/graph,Maven,BoruvkaKruskal,BoruvkaKruskal_RBL4Test_9edb2ce5,PASS,ok,16.023,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\044_78444970_BoruvkaKruskal_9edb2ce5,sandbox readiness passed
45,78444970:examples/random/src/main/java/random/reservoirsamplingmultipleitems.java,78444970,78444970,examples/random,maven:examples/random,Maven,ReservoirSamplingMultipleItems,ReservoirSamplingMultipleItems_RBL4Test_01a0a377,PASS,ok,1.133,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\045_78444970_ReservoirSamplingMultipleItems_01a0a377,sandbox readiness passed
46,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/spark/flaggingvisitor.java,81384608,81384608,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,FlaggingVisitor,FlaggingVisitor_RBL4Test_80a61f46,PASS,ok,39.066,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\046_81384608_FlaggingVisitor_80a61f46,sandbox readiness passed
47,81384608:integrations/spark/spark-catalog/spark-catalog-core/src/main/java/com/thinkbiganalytics/kylo/catalog/spark/sources/abstractjdbcdatasetprovider.java,81384608,81384608,integrations/spark/spark-catalog/spark-catalog-core,maven:integrations/spark/spark-catalog/spark-catalog-core,Maven,AbstractJdbcDataSetProvider,AbstractJdbcDataSetProvider_RBL4Test_afd5506e,PASS,ok,45.114,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\047_81384608_AbstractJdbcDataSetProvider_afd5506e,sandbox readiness passed
48,85795396:metrics-dropwizardmetrics/src/main/java/org/apache/calcite/avatica/metrics/dropwizard/dropwizardmetricssystemfactory.java,85795396,85795396,metrics-dropwizardmetrics,gradle:metrics-dropwizardmetrics,Gradle,DropwizardMetricsSystemFactory,DropwizardMetricsSystemFactory_RBL4Test_33421196,PASS,ok,39.906,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\048_85795396_DropwizardMetricsSystemFactory_33421196,sandbox readiness passed
49,85795396:core/src/main/java/org/apache/calcite/avatica/connectionconfigimpl.java,85795396,85795396,core,gradle:core,Gradle,ConnectionConfigImpl,ConnectionConfigImpl_RBL4Test_625c2e75,PASS,ok,42.133,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\049_85795396_ConnectionConfigImpl_625c2e75,sandbox readiness passed
50,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/http2goawayeventlistener.java,95247959,95247959,http-clients/netty-nio-client,maven:http-clients/netty-nio-client,Maven,Http2GoAwayEventListener,Http2GoAwayEventListener_RBL4Test_729d1168,PASS,ok,354.838,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\050_95247959_Http2GoAwayEventListener_729d1168,sandbox readiness passed
51,95247959:http-clients/netty-nio-client/src/main/java/software/amazon/awssdk/http/nio/netty/internal/http2/httporhttp2channelpool.java,95247959,95247959,http-clients/netty-nio-client,maven:http-clients/netty-nio-client,Maven,HttpOrHttp2ChannelPool,HttpOrHttp2ChannelPool_RBL4Test_7d118b37,PASS,ok,354.614,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\051_95247959_HttpOrHttp2ChannelPool_7d118b37,sandbox readiness passed
52,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/query/simpledbqueryrunner.java,9619226,9619226,spring-data-simpledb-impl,maven:spring-data-simpledb-impl,Maven,SimpleDbQueryRunner,SimpleDbQueryRunner_RBL4Test_6778b5de,PASS,ok,5.679,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\052_9619226_SimpleDbQueryRunner_6778b5de,sandbox readiness passed
53,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/attributeutil/simpledbattributevaluesplitter.java,9619226,9619226,spring-data-simpledb-impl,maven:spring-data-simpledb-impl,Maven,SimpleDbAttributeValueSplitter,SimpleDbAttributeValueSplitter_RBL4Test_6248ee60,PASS,ok,0.292,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\053_9619226_SimpleDbAttributeValueSplitter_6248ee60,sandbox readiness passed
54,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/doubledefinitionsregistrationcontext.java,97822421,97822421,infrastructure,maven:infrastructure,Maven,DoubleDefinitionsRegistrationContext,DoubleDefinitionsRegistrationContext_RBL4Test_a7437094,PASS,ok,8.722,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\054_97822421_DoubleDefinitionsRegistrationContext_a7437094,sandbox readiness passed
55,97822421:infrastructure/src/main/java/com/pchudzik/springmock/infrastructure/spring/tospyreplacingprocessor.java,97822421,97822421,infrastructure,maven:infrastructure,Maven,ToSpyReplacingProcessor,ToSpyReplacingProcessor_RBL4Test_252c76a1,PASS,ok,0.433,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\055_97822421_ToSpyReplacingProcessor_252c76a1,sandbox readiness passed
56,98410891:core/src/main/java/com/softavail/commsrouter/eval/jevalevaluator.java,98410891,98410891,core,maven:core,Maven,JEvalEvaluator,JEvalEvaluator_RBL4Test_306ef4d3,PASS,ok,34.384,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\056_98410891_JEvalEvaluator_306ef4d3,sandbox readiness passed
57,98410891:core-interface/src/main/java/com/softavail/commsrouter/api/dto/model/skill/numberinterval.java,98410891,98410891,core-interface,maven:core-interface,Maven,NumberInterval,NumberInterval_RBL4Test_e3efc426,PASS,ok,9.054,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\057_98410891_NumberInterval_e3efc426,sandbox readiness passed
58,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/secureannotationhandler.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,SecureAnnotationHandler,SecureAnnotationHandler_RBL4Test_cedbf5e7,PASS,ok,25.996,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\058_9884445_SecureAnnotationHandler_cedbf5e7,sandbox readiness passed
59,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/entitynode.java,9884445,9884445,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,Maven,EntityNode,EntityNode_RBL4Test_58c2959b,PASS,ok,11.712,D:\A_ThucNghiem\scripts_v2\workspaces\20260723_215359_ccfee980__baseline_readiness\059_9884445_EntityNode_58c2959b,sandbox readiness passed
