sample_index,project,build_tool,scope_key,module,focal_class,evosuite,gpt,arm_status,evosuite_owner_from_metrics,gpt_owner_from_metrics,error_rows,failure_owners_from_error_summary,categories,primary_from_error_summary,primary_failure_owner
30,6293402,Maven,maven:server,server,ListDataProvider,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,agonetest_harness,pom_rewrite_namespace_error,agonetest_harness,agonetest_harness
31,6293402,Maven,maven:server,server,CurrentInstance,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,agonetest_harness,pom_rewrite_namespace_error,agonetest_harness,agonetest_harness
32,6437134,Maven,maven:enav-model,enav-model,SafetyZones,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
33,6437134,Maven,maven:enav-model,enav-model,PositionTime,ok,ok,both_ok,ok,ok,0,,,,ok
34,64487983,Maven,maven:bridge,bridge,App,ok,ok,both_ok,ok,ok,0,,,,ok
35,64487983,Maven,maven:hexagonal,hexagonal,LotteryTicket,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
36,66303306,Maven,maven:event,event,DefaultSlabAllocator,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
37,66303306,Maven,maven:web,web,SettingsManager,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,generator_output,generated_test_compile_failed,generator_output,generator_output
38,6944525,Gradle,gradle:d2,d2,ZKFSUtil,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,0,,,,agonetest_harness
39,6944525,Gradle,gradle:d2,d2,LoadBalancerUtil,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,0,,,,agonetest_harness
40,74999474,Gradle,gradle:parsec-clients,parsec-clients,ParsecAsyncCompletionHandlerBase,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,0,,,,agonetest_harness
41,74999474,Gradle,gradle:parsec-clients,parsec-clients,ParsecAsyncHttpClient,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,0,,,,agonetest_harness
42,77481567,Maven,maven:core,core,RiskMoneyProvider,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,agonetest_harness;generator_output,unclassified_runtime_issue;generated_test_assertion_failure,agonetest_harness,agonetest_harness
43,77481567,Maven,maven:core,core,Failed,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,agonetest_harness,unclassified_runtime_issue,agonetest_harness,agonetest_harness
44,78444970,Maven,maven:examples/graph,examples/graph,BoruvkaKruskal,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
45,78444970,Maven,maven:examples/random,examples/random,ReservoirSamplingMultipleItems,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,0,,,,agonetest_harness
46,81384608,Maven,maven:integrations/spark/spark-catalog/spark-catalog-core,integrations/spark/spark-catalog/spark-catalog-core,FlaggingVisitor,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,generator_output,unclassified_runtime_issue;generated_test_compile_failed,generator_output,generator_output
47,81384608,Maven,maven:integrations/spark/spark-catalog/spark-catalog-core,integrations/spark/spark-catalog/spark-catalog-core,AbstractJdbcDataSetProvider,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,unknown_needs_manual_review;generator_output,unclassified_runtime_issue;generated_test_compile_failed,generator_output,generator_output
48,85795396,Gradle,gradle:metrics-dropwizardmetrics,metrics-dropwizardmetrics,DropwizardMetricsSystemFactory,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,agonetest_harness,gradle_build_failed,agonetest_harness,agonetest_harness
49,85795396,Gradle,gradle:core,core,ConnectionConfigImpl,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,1,agonetest_harness,gradle_build_failed,agonetest_harness,agonetest_harness
50,95247959,Maven,maven:http-clients/netty-nio-client,http-clients/netty-nio-client,Http2GoAwayEventListener,maven_reactor_prewarm_failed,maven_reactor_prewarm_failed,both_fail,agonetest_harness,agonetest_harness,2,agonetest_harness,maven_reactor_prewarm_failed;unclassified_runtime_issue,agonetest_harness,agonetest_harness
51,95247959,Maven,maven:http-clients/netty-nio-client,http-clients/netty-nio-client,HttpOrHttp2ChannelPool,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,llm_api_or_network;repository_or_environment,llm_api_error;project_dependency_resolution_error,repository_or_environment,repository_or_environment
52,9619226,Maven,maven:spring-data-simpledb-impl,spring-data-simpledb-impl,SimpleDbQueryRunner,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
53,9619226,Maven,maven:spring-data-simpledb-impl,spring-data-simpledb-impl,SimpleDbAttributeValueSplitter,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,java_source_level_incompatible,generator_output,generator_output
54,97822421,Maven,maven:infrastructure,infrastructure,DoubleDefinitionsRegistrationContext,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
55,97822421,Maven,maven:infrastructure,infrastructure,ToSpyReplacingProcessor,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
56,98410891,Maven,maven:core,core,JEvalEvaluator,ok,missing_or_failed_output,gpt_fail_only,ok,agonetest_harness,1,generator_output,generated_test_compile_failed,generator_output,generator_output
57,98410891,Maven,maven:core-interface,core-interface,NumberInterval,ok,ok,both_ok,ok,ok,0,,,,ok
58,9884445,Maven,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,SecureAnnotationHandler,missing_or_failed_output,ok,evosuite_fail_only,agonetest_harness,ok,1,generator_output,generated_test_compile_failed,generator_output,generator_output
59,9884445,Maven,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,EntityNode,missing_or_failed_output,missing_or_failed_output,both_fail,agonetest_harness,agonetest_harness,2,unknown_needs_manual_review;generator_output,unclassified_runtime_issue;generated_test_compile_failed,generator_output,generator_output
