sample_id,repository,class_fqn,class_path,project_root,selection_seed,selection_role,backup_rank,selected_for_pilot,replacement_candidate_for,notes
S011,35126599,GroupByImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/GroupByImpl.java,repos/35126599,42,backup,1,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=GroupByImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/GroupByImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_166.json
S012,35126599,InsertImpl,sqlitebuilder/src/main/java/com/nhaarman/sqlitebuilder/impl/InsertImpl.java,repos/35126599,42,backup,2,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/nhaarman/SQLiteBuilder;test_class=InsertImplTest;test_path=sqlitebuilder/src/test/java/com/nhaarman/sqlitebuilder/impl/InsertImplTest.java;dataset_json=raw/classes2test/dataset/35126599/35126599_43.json
S013,36297446,ServiceBeanInstance,astrix-context/src/main/java/com/avanza/astrix/beans/service/ServiceBeanInstance.java,repos/36297446,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=ServiceBeanInstanceTest;test_path=astrix-context/src/test/java/com/avanza/astrix/beans/service/ServiceBeanInstanceTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_7.json
S014,36297446,GenericAstrixMapReducer,astrix-core/src/main/java/com/avanza/astrix/core/util/GenericAstrixMapReducer.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=GenericAstrixMapReducerTest;test_path=astrix-core/src/test/java/com/avanza/astrix/core/util/GenericAstrixMapReducerTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_36.json
S015,36297446,HystrixObservableCommandFacade,astrix-fault-tolerance/src/main/java/com/avanza/astrix/ft/hystrix/HystrixObservableCommandFacade.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=HystrixObservableCommandFacadeTest;test_path=astrix-fault-tolerance/src/test/java/com/avanza/astrix/ft/hystrix/HystrixObservableCommandFacadeTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_11.json
S016,36297446,DropwizardMetrics,astrix-metrics/src/main/java/com/avanza/astrix/metrics/DropwizardMetrics.java,repos/36297446,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=DropwizardMetricsTest;test_path=astrix-metrics/src/test/java/com/avanza/astrix/metrics/DropwizardMetricsTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_32.json
S017,36297446,GsRoutingStrategy,astrix-gs/src/main/java/com/avanza/astrix/gs/remoting/GsRoutingStrategy.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=GsRoutingStrategyTest;test_path=astrix-gs/src/test/java/com/avanza/astrix/gs/remoting/GsRoutingStrategyTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_15.json
S018,36297446,GenericAstrixSetReducer,astrix-core/src/main/java/com/avanza/astrix/core/util/GenericAstrixSetReducer.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=GenericAstrixSetReducerTest;test_path=astrix-core/src/test/java/com/avanza/astrix/core/util/GenericAstrixSetReducerTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_34.json
S019,36297446,RoutingKeyMethodScanner,astrix-remoting/src/main/java/com/avanza/astrix/remoting/util/RoutingKeyMethodScanner.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=RoutingKeyMethodScannerTest;test_path=astrix-remoting/src/test/java/com/avanza/astrix/remoting/util/RoutingKeyMethodScannerTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_24.json
S020,36297446,DefaultAstrixRoutingStrategy,astrix-remoting/src/main/java/com/avanza/astrix/remoting/client/DefaultAstrixRoutingStrategy.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=DefaultAstrixRoutingStrategyTest;test_path=astrix-remoting/src/test/java/com/avanza/astrix/remoting/client/DefaultAstrixRoutingStrategyTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_27.json
S021,36297446,AstrixContextImpl,astrix-context/src/main/java/com/avanza/astrix/context/AstrixContextImpl.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=AstrixContextImplTest;test_path=astrix-context/src/test/java/com/avanza/astrix/context/AstrixContextImplTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_0.json
S022,36297446,DirectComponent,astrix-context/src/main/java/com/avanza/astrix/beans/service/DirectComponent.java,repos/36297446,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=DirectComponentTest;test_path=astrix-context/src/test/java/com/avanza/astrix/beans/service/DirectComponentTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_9.json
S023,36297446,GsUtil,astrix-gs/src/main/java/com/avanza/astrix/remoting/util/GsUtil.java,repos/36297446,42,backup,1,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=GsUtilTest;test_path=astrix-gs/src/test/java/com/avanza/astrix/remoting/util/GsUtilTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_22.json
S024,36297446,GigaSpaceProxy,astrix-gs/src/main/java/com/avanza/astrix/gs/GigaSpaceProxy.java,repos/36297446,42,backup,2,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/AvanzaBank/astrix;test_class=GigaSpaceProxyTest;test_path=astrix-gs/src/test/java/com/avanza/astrix/gs/GigaSpaceProxyTest.java;dataset_json=raw/classes2test/dataset/36297446/36297446_13.json
S025,36483902,MemoryBackend,suggest/memory/src/main/java/com/spotify/heroic/suggest/memory/MemoryBackend.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=MemoryBackendTest;test_path=suggest/memory/src/test/java/com/spotify/heroic/suggest/memory/MemoryBackendTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_59.json
S026,36483902,Spotify100,heroic-core/src/main/java/com/spotify/heroic/consumer/schemas/Spotify100.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=Spotify100Test;test_path=heroic-core/src/test/java/com/spotify/heroic/consumer/schemas/Spotify100Test.java;dataset_json=raw/classes2test/dataset/36483902/36483902_58.json
S027,36483902,DistributedRateLimitedCache,heroic-elasticsearch-utils/src/main/java/com/spotify/heroic/elasticsearch/DistributedRateLimitedCache.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=DistributedRateLimitedCacheTest;test_path=heroic-elasticsearch-utils/src/test/java/com/spotify/heroic/elasticsearch/DistributedRateLimitedCacheTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_64.json
S028,36483902,Throwing,heroic-component/src/main/java/com/spotify/heroic/common/Throwing.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=ThrowingTest;test_path=heroic-component/src/test/java/com/spotify/heroic/common/ThrowingTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_14.json
S029,36483902,CoreIngestionGroup,heroic-core/src/main/java/com/spotify/heroic/ingestion/CoreIngestionGroup.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=CoreIngestionGroupTest;test_path=heroic-core/src/test/java/com/spotify/heroic/ingestion/CoreIngestionGroupTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_55.json
S030,36483902,CoreQueryManager,heroic-core/src/main/java/com/spotify/heroic/CoreQueryManager.java,repos/36483902,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=CoreQueryManagerTest;test_path=heroic-core/src/test/java/com/spotify/heroic/CoreQueryManagerTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_43.json
S031,36483902,DefaultScope,heroic-component/src/main/java/com/spotify/heroic/grammar/DefaultScope.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=DefaultScopeTest;test_path=heroic-component/src/test/java/com/spotify/heroic/grammar/DefaultScopeTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_2.json
S032,36483902,Slf4jQueryLogger,heroic-core/src/main/java/com/spotify/heroic/querylogging/Slf4jQueryLogger.java,repos/36483902,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=Slf4jQueryLoggerTest;test_path=heroic-core/src/test/java/com/spotify/heroic/querylogging/Slf4jQueryLoggerTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_35.json
S033,36483902,DefaultRateLimitedCache,heroic-elasticsearch-utils/src/main/java/com/spotify/heroic/elasticsearch/DefaultRateLimitedCache.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=DefaultRateLimitedCacheTest;test_path=heroic-elasticsearch-utils/src/test/java/com/spotify/heroic/elasticsearch/DefaultRateLimitedCacheTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_67.json
S034,36483902,DisabledRateLimitedCache,heroic-elasticsearch-utils/src/main/java/com/spotify/heroic/elasticsearch/DisabledRateLimitedCache.java,repos/36483902,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=DisabledRateLimitedCacheTest;test_path=heroic-elasticsearch-utils/src/test/java/com/spotify/heroic/elasticsearch/DisabledRateLimitedCacheTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_63.json
S035,36483902,CoreAggregationRegistry,heroic-core/src/main/java/com/spotify/heroic/aggregation/CoreAggregationRegistry.java,repos/36483902,42,backup,1,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=CoreAggregationRegistryTest;test_path=heroic-core/src/test/java/com/spotify/heroic/aggregation/CoreAggregationRegistryTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_48.json
S036,36483902,HeroicConfig,heroic-core/src/main/java/com/spotify/heroic/HeroicConfig.java,repos/36483902,42,backup,2,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/spotify/heroic;test_class=HeroicConfigTest;test_path=heroic-core/src/test/java/com/spotify/heroic/HeroicConfigTest.java;dataset_json=raw/classes2test/dataset/36483902/36483902_57.json
S037,36873773,Files,mopub-sdk/src/main/java/com/mopub/common/util/Files.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=FilesTest;test_path=mopub-sdk/src/test/java/com/mopub/common/util/FilesTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_434.json
S038,36873773,BaseHtmlWebView,mopub-sdk/src/main/java/com/mopub/mobileads/BaseHtmlWebView.java,repos/36873773,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=BaseHtmlWebViewTest;test_path=mopub-sdk/src/test/java/com/mopub/mobileads/BaseHtmlWebViewTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_244.json
S039,36873773,NativeAdSource,mopub-sdk/src/main/java/com/mopub/nativeads/NativeAdSource.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=NativeAdSourceTest;test_path=mopub-sdk/src/test/java/com/mopub/nativeads/NativeAdSourceTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_730.json
S040,36873773,MraidVideoViewController,mopub-sdk/src/main/java/com/mopub/mraid/MraidVideoViewController.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=MraidVideoViewControllerTest;test_path=mopub-sdk/src/test/java/com/mopub/mraid/MraidVideoViewControllerTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_634.json
S041,36873773,HtmlInterstitial,mopub-sdk/src/main/java/com/mopub/mobileads/HtmlInterstitial.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=HtmlInterstitialTest;test_path=mopub-sdk/src/test/java/com/mopub/mobileads/HtmlInterstitialTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_177.json
S042,36873773,MoPubNativeAdRenderer,mopub-sdk/src/main/java/com/mopub/nativeads/MoPubNativeAdRenderer.java,repos/36873773,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=MoPubNativeAdRendererTest;test_path=mopub-sdk/src/test/java/com/mopub/nativeads/MoPubNativeAdRendererTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_766.json
S043,36873773,DownloadResponse,mopub-sdk/src/main/java/com/mopub/common/DownloadResponse.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=DownloadResponseTest;test_path=mopub-sdk/src/test/java/com/mopub/common/DownloadResponseTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_582.json
S044,36873773,MoPubEvents,mopub-sdk/src/main/java/com/mopub/common/event/MoPubEvents.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=MoPubEventsTest;test_path=mopub-sdk/src/test/java/com/mopub/common/event/MoPubEventsTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_631.json
S045,36873773,VastVideoDownloadTask,mopub-sdk/src/main/java/com/mopub/mobileads/VastVideoDownloadTask.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=VastVideoDownloadTaskTest;test_path=mopub-sdk/src/test/java/com/mopub/mobileads/VastVideoDownloadTaskTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_53.json
S046,36873773,Views,mopub-sdk/src/main/java/com/mopub/common/util/Views.java,repos/36873773,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=ViewsTest;test_path=mopub-sdk/src/test/java/com/mopub/common/util/ViewsTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_443.json
S047,36873773,VastVideoViewProgressRunnable,mopub-sdk/src/main/java/com/mopub/mobileads/VastVideoViewProgressRunnable.java,repos/36873773,42,backup,1,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=VastVideoViewProgressRunnableTest;test_path=mopub-sdk/src/test/java/com/mopub/mobileads/VastVideoViewProgressRunnableTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_316.json
S048,36873773,ServerPositioningSource,mopub-sdk/src/main/java/com/mopub/nativeads/ServerPositioningSource.java,repos/36873773,42,backup,2,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/himanshumistri/MaterialDesign;test_class=ServerPositioningSourceTest;test_path=mopub-sdk/src/test/java/com/mopub/nativeads/ServerPositioningSourceTest.java;dataset_json=raw/classes2test/dataset/36873773/36873773_816.json
S049,3699746,OsgiDefaultEndpoint,component/src/main/java/org/apache/camel/osgi/service/OsgiDefaultEndpoint.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OsgiDefaultEndpointTest;test_path=component/src/test/java/org/apache/camel/osgi/service/OsgiDefaultEndpointTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_54.json
S050,3699746,OsgiDefaultProducer,component/src/main/java/org/apache/camel/osgi/service/OsgiDefaultProducer.java,repos/3699746,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OsgiDefaultProducerTest;test_path=component/src/test/java/org/apache/camel/osgi/service/OsgiDefaultProducerTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_58.json
S051,3699746,DynamicCollection,component/src/main/java/org/apache/camel/osgi/service/util/DynamicCollection.java,repos/3699746,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=DynamicCollectionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/util/DynamicCollectionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_19.json
S052,3699746,OsgiRoundRobinEndpoint,component/src/main/java/org/apache/camel/osgi/service/OsgiRoundRobinEndpoint.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OsgiRoundRobinEndpointTest;test_path=component/src/test/java/org/apache/camel/osgi/service/OsgiRoundRobinEndpointTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_52.json
S053,3699746,RawCriterion,component/src/main/java/org/apache/camel/osgi/service/filter/RawCriterion.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=RawCriterionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/filter/RawCriterionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_38.json
S054,3699746,OsgiDefaultLoadBalancer,component/src/main/java/org/apache/camel/osgi/service/OsgiDefaultLoadBalancer.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OsgiDefaultLoadBalancerTest;test_path=component/src/test/java/org/apache/camel/osgi/service/OsgiDefaultLoadBalancerTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_67.json
S055,3699746,ExistsCriterion,component/src/main/java/org/apache/camel/osgi/service/filter/ExistsCriterion.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=ExistsCriterionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/filter/ExistsCriterionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_34.json
S056,3699746,EqCriterion,component/src/main/java/org/apache/camel/osgi/service/filter/EqCriterion.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=EqCriterionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/filter/EqCriterionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_35.json
S057,3699746,OsgiServiceList,component/src/main/java/org/apache/camel/osgi/service/util/OsgiServiceList.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OsgiServiceListTest;test_path=component/src/test/java/org/apache/camel/osgi/service/util/OsgiServiceListTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_20.json
S058,3699746,OsgiServiceCollection,component/src/main/java/org/apache/camel/osgi/service/util/OsgiServiceCollection.java,repos/3699746,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OsgiServiceCollectionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/util/OsgiServiceCollectionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_27.json
S059,3699746,ApproxCriterion,component/src/main/java/org/apache/camel/osgi/service/filter/ApproxCriterion.java,repos/3699746,42,backup,1,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=ApproxCriterionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/filter/ApproxCriterionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_37.json
S060,3699746,OrCriterion,component/src/main/java/org/apache/camel/osgi/service/filter/OrCriterion.java,repos/3699746,42,backup,2,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/szhem/camel-osgi;test_class=OrCriterionTest;test_path=component/src/test/java/org/apache/camel/osgi/service/filter/OrCriterionTest.java;dataset_json=raw/classes2test/dataset/3699746/3699746_48.json
S061,41767364,SdkVersion,sdk/implementation/src/main/java/com/google/cloud/trace/SdkVersion.java,repos/41767364,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/GoogleCloudPlatform/cloud-trace-java;test_class=SdkVersionTest;test_path=sdk/implementation/src/test/java/com/google/cloud/trace/SdkVersionTest.java;dataset_json=raw/classes2test/dataset/41767364/41767364_53.json
S062,41767364,SpanContextHandlerTracer,sdk/implementation/src/main/java/com/google/cloud/trace/SpanContextHandlerTracer.java,repos/41767364,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/GoogleCloudPlatform/cloud-trace-java;test_class=SpanContextHandlerTracerTest;test_path=sdk/implementation/src/test/java/com/google/cloud/trace/SpanContextHandlerTracerTest.java;dataset_json=raw/classes2test/dataset/41767364/41767364_44.json
S063,41767364,AppEngineTraceService,services/appengine-standard-service/src/main/java/com/google/cloud/trace/service/AppEngineTraceService.java,repos/41767364,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/GoogleCloudPlatform/cloud-trace-java;test_class=AppEngineTraceServiceTest;test_path=services/appengine-standard-service/src/test/java/com/google/cloud/trace/service/AppEngineTraceServiceTest.java;dataset_json=raw/classes2test/dataset/41767364/41767364_7.json
S064,41767364,AppEngineSpanContextHandle,services/appengine-standard-service/src/main/java/com/google/cloud/trace/service/AppEngineSpanContextHandle.java,repos/41767364,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/GoogleCloudPlatform/cloud-trace-java;test_class=AppEngineSpanContextHandleTest;test_path=services/appengine-standard-service/src/test/java/com/google/cloud/trace/service/AppEngineSpanContextHandleTest.java;dataset_json=raw/classes2test/dataset/41767364/41767364_4.json
S065,41767364,SpanContextFactory,sdk/core/src/main/java/com/google/cloud/trace/core/SpanContextFactory.java,repos/41767364,42,primary,0,yes,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/GoogleCloudPlatform/cloud-trace-java;test_class=SpanContextFactoryTest;test_path=sdk/core/src/test/java/com/google/cloud/trace/core/SpanContextFactoryTest.java;dataset_json=raw/classes2test/dataset/41767364/41767364_18.json
S066,41767364,SizedBufferingTraceConsumer,sinks/v1/sink/src/main/java/com/google/cloud/trace/v1/consumer/SizedBufferingTraceConsumer.java,repos/41767364,42,primary,0,no,,source_origin=reconstructed_from_dataset_json;repo_url=https://github.com/GoogleCloudPlatform/cloud-trace-java;test_class=SizedBufferingTraceConsumerTest;test_path=sinks/v1/sink/src/test/java/com/google/cloud/trace/v1/consumer/SizedBufferingTraceConsumerTest.java;dataset_json=raw/classes2test/dataset/41767364/41767364_54.json
