Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module
50552134,SimpleClassScanner,SimpleClassScannerTest,repos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleClassScanner.java,repos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleClassScannerTest.java,confucius-commons-lang
771158,StatementComparator,StatementComparatorTest,repos/771158/common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,repos/771158/common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java,common
5175291,Strings,TestStrings,repos/5175291/airship-shared/src/main/java/io/airlift/airship/shared/Strings.java,repos/5175291/airship-shared/src/test/java/io/airlift/airship/shared/TestStrings.java,airship-shared
3526892,Pricing,PricingTest,repos/3526892/core/src/main/java/com/datascience/gal/Pricing.java,repos/3526892/core/src/test/java/com/datascience/gal/PricingTest.java,core
812511,SimpleMemoryCertStore,SimpleMemoryCertStoreTest,repos/812511/ssl-proxies/src/main/java/org/globus/gsi/provider/simple/SimpleMemoryCertStore.java,repos/812511/ssl-proxies/src/test/java/org/globus/gsi/provider/simple/SimpleMemoryCertStoreTest.java,ssl-proxies
57251243,SpanCustomizingApplicationEventListener,SpanCustomizingApplicationEventListenerTest,repos/57251243/wingtips-jersey2/src/main/java/com/nike/wingtips/jersey2/SpanCustomizingApplicationEventListener.java,repos/57251243/wingtips-jersey2/src/test/java/com/nike/wingtips/jersey2/SpanCustomizingApplicationEventListenerTest.java,wingtips-jersey2
70711909,GetHereClientCredentialsIdTokenTutorial,GetHereClientCredentialsIdTokenTutorialTest,repos/70711909/examples/here-oauth-client-example/src/main/java/com/here/account/oauth2/tutorial/GetHereClientCredentialsIdTokenTutorial.java,repos/70711909/examples/here-oauth-client-example/src/test/java/com/here/account/oauth2/tutorial/GetHereClientCredentialsIdTokenTutorialTest.java,examples/here-oauth-client-example
89562636,CoapServer,CoapServerTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/server/CoapServer.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/server/CoapServerTest.java,coap-core
38080174,OTAlgorithms,OTAlgorithmsTest,repos/38080174/cloud-ot/src/main/java/io/datakernel/ot/OTAlgorithms.java,repos/38080174/cloud-ot/src/test/java/io/datakernel/ot/OTAlgorithmsTest.java,cloud-ot
54620819,GolangBuildMojo,GolangBuildMojoTest,repos/54620819/mvn-golang-wrapper/src/main/java/com/igormaznitsa/mvngolang/GolangBuildMojo.java,repos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java,mvn-golang-wrapper
