repo_id,repo_url,commit_sha,focal_class,focal_path,test_class,test_path,nloc,max_method_cc,avg_method_cc,sum_method_cc,method_count,public_method_count,complexity_bucket,eligible_for_sampling,selected_type,selection_rank,repo_order_index,class_seed,replacement_of,notes,java_version,java_version_source,build_tool,dependency_command,compile_command,test_compile_command,working_directory,skip_flags,disabled_components,build_recipe_id,validation_log,success_origin,pilot_seed,pilot_60_rank,pilot_selection_policy
6489406,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,Track,ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/Track.java,TrackTest,ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/TrackTest.java,396,13,1.77,76,43,37,high,True,main,2,48,11408680270351069727,,"Main sampled class (Rank 2, CC 13)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,[],[],recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,,42,11,unique_focal_per_repo_hamilton_repo_weighted_seed42
6489406,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,EventEmittingTrackerImpl,ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImpl.java,EventEmittingTrackerImplTest,ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImplTest.java,291,11,2.25,54,24,9,high,True,main,7,48,11408680270351069727,,"Main sampled class (Rank 7, CC 11)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,[],[],recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,,42,12,unique_focal_per_repo_hamilton_repo_weighted_seed42
56342003,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,AbstractService,kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,AbstractServiceTest,kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java,205,7,1.87,43,23,14,medium,True,main,1,51,4442270828601798807,,"Main sampled class (Rank 1, CC 7)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,[],[],recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,,42,13,unique_focal_per_repo_hamilton_repo_weighted_seed42
56342003,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,ValidationUtil,kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtil.java,ValidationUtilTest,kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtilTest.java,254,12,3.56,64,18,16,high,True,main,2,51,4442270828601798807,,"Main sampled class (Rank 2, CC 12)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,[],[],recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,,42,14,unique_focal_per_repo_hamilton_repo_weighted_seed42
56342003,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,RequestUtil,kangaroo-common/src/main/java/net/krotscheck/kangaroo/util/RequestUtil.java,RequestUtilTest,kangaroo-common/src/test/java/net/krotscheck/kangaroo/util/RequestUtilTest.java,120,5,2.5,20,8,7,medium,True,main,8,51,4442270828601798807,,"Main sampled class (Rank 8, CC 5)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,[],[],recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,,42,15,unique_focal_per_repo_hamilton_repo_weighted_seed42
3526892,https://github.com/ipeirotis/Troia-Server,5c18a6cc519a148c58d8ed5483fb6809e5623ee9,ProjectCommandExecutor,core/src/main/java/com/datascience/executor/ProjectCommandExecutor.java,ProjectCommandExecutorTest,core/src/test/java/com/datascience/executor/ProjectCommandExecutorTest.java,119,4,1.64,23,14,7,low,True,main,1,59,11970320721535061872,,"Main sampled class (Rank 1, CC 4)",unknown_but_builds_with_jdk8,repair_stage,maven,mvn -U -s ../../repair_configs/3526892/settings_retry.xml test-compile -DskipTests -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true -Ddocker.skip=true -Dfrontend.skip=true,mvn -U -s ../../repair_configs/3526892/settings_retry.xml test-compile -DskipTests -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true -Ddocker.skip=true -Dfrontend.skip=true,mvn -U -s ../../repair_configs/3526892/settings_retry.xml test-compile -DskipTests -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true -Ddocker.skip=true -Dfrontend.skip=true,,"['checkstyle.skip', 'spotless.check.skip', 'license.skip', 'gpg.skip', 'docker.skip', 'frontend.skip']",[],recipe_3526892,logs/repair/3526892_20260713_192338_attempt_2.log,curated_repair,42,16,unique_focal_per_repo_hamilton_repo_weighted_seed42
89562636,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,TransactionManager,coap-core/src/main/java/com/mbed/coap/server/internal/TransactionManager.java,TransactionManagerTest,coap-core/src/test/java/com/mbed/coap/server/internal/TransactionManagerTest.java,98,6,2.33,21,9,8,medium,True,main,1,76,2943542859354608868,,"Main sampled class (Rank 1, CC 6)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/89562636,[],[],recipe_89562636,logs/build/89562636_20260712_230641_attempt_1.log,,42,17,unique_focal_per_repo_hamilton_repo_weighted_seed42
89562636,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,CoapPacket,coap-core/src/main/java/com/mbed/coap/packet/CoapPacket.java,CoapPacketTest,coap-core/src/test/java/com/mbed/coap/packet/CoapPacketTest.java,365,12,2.38,100,42,37,high,True,main,2,76,2943542859354608868,,"Main sampled class (Rank 2, CC 12)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/89562636,[],[],recipe_89562636,logs/build/89562636_20260712_230641_attempt_1.log,,42,18,unique_focal_per_repo_hamilton_repo_weighted_seed42
89562636,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,CoapTcpCSM,coap-core/src/main/java/com/mbed/coap/server/internal/CoapTcpCSM.java,CoapTcpCSMTest,coap-core/src/test/java/com/mbed/coap/server/internal/CoapTcpCSMTest.java,104,9,2.69,35,13,13,high,True,main,12,76,2943542859354608868,,"Main sampled class (Rank 12, CC 9)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/89562636,[],[],recipe_89562636,logs/build/89562636_20260712_230641_attempt_1.log,,42,19,unique_focal_per_repo_hamilton_repo_weighted_seed42
771158,https://github.com/joshsh/sesametools,178d0470d13fcbe995347b86fd971f15ca5b5fe9,StatementComparator,common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,StatementComparatorTest,common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java,41,8,4.5,9,2,2,medium,True,main,1,77,18344278130483628876,,"Main sampled class (Rank 1, CC 8)",unknown_but_builds_with_jdk8,repair_stage,maven,mvn -U -s ../../repair_configs/771158/settings_retry.xml test-compile -DskipTests,mvn -U -s ../../repair_configs/771158/settings_retry.xml test-compile -DskipTests,mvn -U -s ../../repair_configs/771158/settings_retry.xml test-compile -DskipTests,,"['checkstyle.skip', 'spotless.check.skip', 'license.skip', 'gpg.skip', 'docker.skip', 'frontend.skip']",[],recipe_771158,logs/repair/771158_20260713_193050_attempt_1.log,curated_repair,42,20,unique_focal_per_repo_hamilton_repo_weighted_seed42
5175291,https://github.com/airlift/airship,a81374f546e75f5573e846b0df9d769921d1124f,AdminResource,airship-coordinator/src/main/java/io/airlift/airship/coordinator/AdminResource.java,TestAdminResource,airship-coordinator/src/test/java/io/airlift/airship/coordinator/TestAdminResource.java,108,2,1.17,7,6,6,low,True,main,1,79,3318159894493461849,,"Main sampled class (Rank 1, CC 2)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/5175291,[],[],recipe_5175291,logs/build/5175291_20260712_230641_attempt_1.log,,42,21,unique_focal_per_repo_hamilton_repo_weighted_seed42
5175291,https://github.com/airlift/airship,a81374f546e75f5573e846b0df9d769921d1124f,MavenCoordinates,airship-shared/src/main/java/io/airlift/airship/shared/MavenCoordinates.java,TestMavenCoordinates,airship-shared/src/test/java/io/airlift/airship/shared/TestMavenCoordinates.java,218,13,2.95,59,20,19,high,True,main,2,79,3318159894493461849,,"Main sampled class (Rank 2, CC 13)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/5175291,[],[],recipe_5175291,logs/build/5175291_20260712_230641_attempt_1.log,,42,22,unique_focal_per_repo_hamilton_repo_weighted_seed42
5745625,https://github.com/square/tape,445cd3fd0a7b3ec48c9ea3e0e86663fe6d3735d8,ObjectQueue,tape/src/main/java/com/squareup/tape2/ObjectQueue.java,ObjectQueueTest,tape/src/test/java/com/squareup/tape2/ObjectQueueTest.java,47,2,1.14,8,7,7,low,True,main,1,150,18142317957254418390,,"Main sampled class (Rank 1, CC 2)",unknown_but_builds_with_jdk8,unknown,gradle,gradlew.bat dependencies,gradlew.bat testClasses -x test,gradlew.bat testClasses -x test,repos/successful/5745625,[],[],recipe_5745625,logs/build/5745625_20260712_230641_attempt_1.log,,42,23,unique_focal_per_repo_hamilton_repo_weighted_seed42
960343,https://github.com/anjlab/sat3,c903a6fccd53f91955af62f14f45b3206687ca12,SimpleTier,3-sat-core/src/main/java/com/anjlab/sat3/SimpleTier.java,TestSimpleTier,3-sat-core/src/test/java/com/anjlab/sat3/TestSimpleTier.java,303,10,2.1,61,29,24,high,True,main,1,173,17838647740758749834,,"Main sampled class (Rank 1, CC 10)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/960343,[],[],recipe_960343,logs/build/960343_20260712_230641_attempt_1.log,,42,24,unique_focal_per_repo_hamilton_repo_weighted_seed42
82282677,https://github.com/akuhtz/timingframework,8b8376182371c38c198e2b9c28ef2bc179f1e6f4,TimingSource,timingframework-core/src/main/java/org/jdesktop/core/animation/timing/TimingSource.java,TestTimingSource,timingframework-core/src/test/java/org/jdesktop/core/animation/timing/TestTimingSource.java,65,7,2.29,16,7,7,medium,True,main,1,203,14420620380724456002,,"Main sampled class (Rank 1, CC 7)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/82282677,[],[],recipe_82282677,logs/build/82282677_20260712_230641_attempt_1.log,,42,25,unique_focal_per_repo_hamilton_repo_weighted_seed42
74217,https://github.com/born2snipe/flapjack,c32599a0db5c97a47820f2c8c943dcb65591470b,CobolFieldDefinitionFactory,flapjack-cobol/src/main/java/flapjack/cobol/layout/CobolFieldDefinitionFactory.java,CobolFieldDefinitionFactoryTest,flapjack-cobol/src/test/java/flapjack/cobol/layout/CobolFieldDefinitionFactoryTest.java,12,3,3.0,3,1,1,low,True,main,1,214,866949009358952329,,"Main sampled class (Rank 1, CC 3)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/74217,[],[],recipe_74217,logs/build/74217_20260713_140736_attempt_1.log,,42,26,unique_focal_per_repo_hamilton_repo_weighted_seed42
35132359,https://github.com/gajen0981/FHIR-Server,1e9ad63500908488e7f41de1783c2bf85972de37,UrlUtil,hapi-fhir-base/src/main/java/ca/uhn/fhir/util/UrlUtil.java,UrlUtilTest,hapi-fhir-base/src/test/java/ca/uhn/fhir/util/UrlUtilTest.java,101,12,6.2,31,5,5,high,True,main,1,221,4431254962856338033,,"Main sampled class (Rank 1, CC 12)",6,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/35132359,[],[],recipe_35132359,logs/build/35132359_20260712_230641_attempt_1.log,,42,27,unique_focal_per_repo_hamilton_repo_weighted_seed42
73087334,https://github.com/jkacer/pac4j-extensions,25ce72b3b1a59fd33560d03aea8fe18ddbc07040,DatabaseLoadedSAML2Clients,pac4j-saml-config-db/src/main/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2Clients.java,DatabaseLoadedSAML2ClientsTest,pac4j-saml-config-db/src/test/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2ClientsTest.java,70,4,1.67,10,6,4,low,True,main,1,248,8184010027543304559,,"Main sampled class (Rank 1, CC 4)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/73087334,[],[],recipe_73087334,logs/build/73087334_20260712_230641_attempt_1.log,,42,28,unique_focal_per_repo_hamilton_repo_weighted_seed42
7091762,https://github.com/grahamar/cron-parser,7d3ec2aefc5d4756c48ad145ce1ce6b610dd7185,CronExpressionFormatter,cron-parser-spring/src/main/java/net/redhogs/cronparser/format/CronExpressionFormatter.java,CronExpressionFormatterTest,cron-parser-spring/src/test/java/net/redhogs/cronparser/format/CronExpressionFormatterTest.java,30,3,1.5,6,4,4,low,True,main,1,253,14619850678797944860,,"Main sampled class (Rank 1, CC 3)",7,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/7091762,[],[],recipe_7091762,logs/build/7091762_20260712_230641_attempt_1.log,,42,29,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,HttpMessage,core-http/src/main/java/io/datakernel/http/HttpMessage.java,HttpMessageTest,core-http/src/test/java/io/datakernel/http/HttpMessageTest.java,304,7,2.54,94,37,31,medium,True,main,1,263,3512727549659329474,,"Main sampled class (Rank 1, CC 7)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,30,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,ContentType,core-http/src/main/java/io/datakernel/http/ContentType.java,ContentTypeTest,core-http/src/test/java/io/datakernel/http/ContentTypeTest.java,111,14,2.75,33,12,7,high,True,main,2,263,3512727549659329474,,"Main sampled class (Rank 2, CC 14)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,31,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,ReadSettings,uikernel/src/main/java/io/datakernel/uikernel/ReadSettings.java,ReadSettingsTest,uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java,136,14,2.08,27,13,9,high,True,main,4,263,3512727549659329474,,"Main sampled class (Rank 4, CC 14)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,32,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,HttpCookie,core-http/src/main/java/io/datakernel/http/HttpCookie.java,HttpCookieTest,core-http/src/test/java/io/datakernel/http/HttpCookieTest.java,362,13,2.06,99,48,32,high,True,main,5,263,3512727549659329474,,"Main sampled class (Rank 5, CC 13)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,33,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,Utils,util-common/src/main/java/io/datakernel/common/Utils.java,UtilsTest,util-common/src/test/java/io/datakernel/common/UtilsTest.java,170,12,2.52,58,23,22,high,True,main,6,263,3512727549659329474,,"Main sampled class (Rank 6, CC 12)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,34,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,CachedFsClient,cloud-fs/src/main/java/io/datakernel/remotefs/CachedFsClient.java,TestCachedFsClient,cloud-fs/src/test/java/io/datakernel/remotefs/TestCachedFsClient.java,286,12,1.52,50,33,26,high,True,main,8,263,3512727549659329474,,"Main sampled class (Rank 8, CC 12)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,35,unique_focal_per_repo_hamilton_repo_weighted_seed42
38080174,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,JmxRegistry,boot-jmx/src/main/java/io/datakernel/jmx/JmxRegistry.java,JmxRegistryTest,boot-jmx/src/test/java/io/datakernel/jmx/JmxRegistryTest.java,364,11,2.75,66,24,17,high,True,main,20,263,3512727549659329474,,"Main sampled class (Rank 20, CC 11)",8,pom.xml,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,[],[],recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,,42,36,unique_focal_per_repo_hamilton_repo_weighted_seed42
812511,https://github.com/jglobus/JGlobus,bf4f5a185201dbd8ab6f9d67c1ede329557b40ae,CertificateUtil,ssl-proxies/src/main/java/org/globus/gsi/util/CertificateUtil.java,CertificateUtilTest,ssl-proxies/src/test/java/org/globus/gsi/util/CertificateUtilTest.java,414,13,3.57,75,21,18,high,True,main,1,291,2501644946118458267,,"Main sampled class (Rank 1, CC 13)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/812511,[],[],recipe_812511,logs/build/812511_20260712_230641_attempt_1.log,,42,37,unique_focal_per_repo_hamilton_repo_weighted_seed42
812511,https://github.com/jglobus/JGlobus,bf4f5a185201dbd8ab6f9d67c1ede329557b40ae,OpenSSLKey,ssl-proxies/src/main/java/org/globus/gsi/OpenSSLKey.java,OpenSSLKeyTest,ssl-proxies/src/test/java/org/globus/gsi/OpenSSLKeyTest.java,379,10,2.64,87,33,16,high,True,main,2,291,2501644946118458267,,"Main sampled class (Rank 2, CC 10)",unknown_but_builds_with_jdk8,unknown,maven,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/812511,[],[],recipe_812511,logs/build/812511_20260712_230641_attempt_1.log,,42,38,unique_focal_per_repo_hamilton_repo_weighted_seed42
