Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module
6489406,Track,TrackTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/Track.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/TrackTest.java,ais-lib-communication
6489406,EventEmittingTrackerImpl,EventEmittingTrackerImplTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImpl.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImplTest.java,ais-lib-communication
56342003,AbstractService,AbstractServiceTest,repos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,repos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java,kangaroo-server-authz
56342003,ValidationUtil,ValidationUtilTest,repos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtil.java,repos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtilTest.java,kangaroo-server-authz
56342003,RequestUtil,RequestUtilTest,repos/56342003/kangaroo-common/src/main/java/net/krotscheck/kangaroo/util/RequestUtil.java,repos/56342003/kangaroo-common/src/test/java/net/krotscheck/kangaroo/util/RequestUtilTest.java,kangaroo-common
3526892,ProjectCommandExecutor,ProjectCommandExecutorTest,repos/3526892/core/src/main/java/com/datascience/executor/ProjectCommandExecutor.java,repos/3526892/core/src/test/java/com/datascience/executor/ProjectCommandExecutorTest.java,core
89562636,TransactionManager,TransactionManagerTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/server/internal/TransactionManager.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/server/internal/TransactionManagerTest.java,coap-core
89562636,CoapPacket,CoapPacketTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/packet/CoapPacket.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/packet/CoapPacketTest.java,coap-core
89562636,CoapTcpCSM,CoapTcpCSMTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/server/internal/CoapTcpCSM.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/server/internal/CoapTcpCSMTest.java,coap-core
771158,StatementComparator,StatementComparatorTest,repos/771158/common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,repos/771158/common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java,common
5175291,AdminResource,TestAdminResource,repos/5175291/airship-coordinator/src/main/java/io/airlift/airship/coordinator/AdminResource.java,repos/5175291/airship-coordinator/src/test/java/io/airlift/airship/coordinator/TestAdminResource.java,airship-coordinator
5175291,MavenCoordinates,TestMavenCoordinates,repos/5175291/airship-shared/src/main/java/io/airlift/airship/shared/MavenCoordinates.java,repos/5175291/airship-shared/src/test/java/io/airlift/airship/shared/TestMavenCoordinates.java,airship-shared
5745625,ObjectQueue,ObjectQueueTest,repos/5745625/tape/src/main/java/com/squareup/tape2/ObjectQueue.java,repos/5745625/tape/src/test/java/com/squareup/tape2/ObjectQueueTest.java,tape
960343,SimpleTier,TestSimpleTier,repos/960343/3-sat-core/src/main/java/com/anjlab/sat3/SimpleTier.java,repos/960343/3-sat-core/src/test/java/com/anjlab/sat3/TestSimpleTier.java,3-sat-core
82282677,TimingSource,TestTimingSource,repos/82282677/timingframework-core/src/main/java/org/jdesktop/core/animation/timing/TimingSource.java,repos/82282677/timingframework-core/src/test/java/org/jdesktop/core/animation/timing/TestTimingSource.java,timingframework-core
74217,CobolFieldDefinitionFactory,CobolFieldDefinitionFactoryTest,repos/74217/flapjack-cobol/src/main/java/flapjack/cobol/layout/CobolFieldDefinitionFactory.java,repos/74217/flapjack-cobol/src/test/java/flapjack/cobol/layout/CobolFieldDefinitionFactoryTest.java,flapjack-cobol
35132359,UrlUtil,UrlUtilTest,repos/35132359/hapi-fhir-base/src/main/java/ca/uhn/fhir/util/UrlUtil.java,repos/35132359/hapi-fhir-base/src/test/java/ca/uhn/fhir/util/UrlUtilTest.java,hapi-fhir-base
73087334,DatabaseLoadedSAML2Clients,DatabaseLoadedSAML2ClientsTest,repos/73087334/pac4j-saml-config-db/src/main/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2Clients.java,repos/73087334/pac4j-saml-config-db/src/test/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2ClientsTest.java,pac4j-saml-config-db
7091762,CronExpressionFormatter,CronExpressionFormatterTest,repos/7091762/cron-parser-spring/src/main/java/net/redhogs/cronparser/format/CronExpressionFormatter.java,repos/7091762/cron-parser-spring/src/test/java/net/redhogs/cronparser/format/CronExpressionFormatterTest.java,cron-parser-spring
38080174,HttpMessage,HttpMessageTest,repos/38080174/core-http/src/main/java/io/datakernel/http/HttpMessage.java,repos/38080174/core-http/src/test/java/io/datakernel/http/HttpMessageTest.java,core-http
38080174,ContentType,ContentTypeTest,repos/38080174/core-http/src/main/java/io/datakernel/http/ContentType.java,repos/38080174/core-http/src/test/java/io/datakernel/http/ContentTypeTest.java,core-http
38080174,ReadSettings,ReadSettingsTest,repos/38080174/uikernel/src/main/java/io/datakernel/uikernel/ReadSettings.java,repos/38080174/uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java,uikernel
38080174,HttpCookie,HttpCookieTest,repos/38080174/core-http/src/main/java/io/datakernel/http/HttpCookie.java,repos/38080174/core-http/src/test/java/io/datakernel/http/HttpCookieTest.java,core-http
38080174,Utils,UtilsTest,repos/38080174/util-common/src/main/java/io/datakernel/common/Utils.java,repos/38080174/util-common/src/test/java/io/datakernel/common/UtilsTest.java,util-common
38080174,CachedFsClient,TestCachedFsClient,repos/38080174/cloud-fs/src/main/java/io/datakernel/remotefs/CachedFsClient.java,repos/38080174/cloud-fs/src/test/java/io/datakernel/remotefs/TestCachedFsClient.java,cloud-fs
38080174,JmxRegistry,JmxRegistryTest,repos/38080174/boot-jmx/src/main/java/io/datakernel/jmx/JmxRegistry.java,repos/38080174/boot-jmx/src/test/java/io/datakernel/jmx/JmxRegistryTest.java,boot-jmx
812511,CertificateUtil,CertificateUtilTest,repos/812511/ssl-proxies/src/main/java/org/globus/gsi/util/CertificateUtil.java,repos/812511/ssl-proxies/src/test/java/org/globus/gsi/util/CertificateUtilTest.java,ssl-proxies
812511,OpenSSLKey,OpenSSLKeyTest,repos/812511/ssl-proxies/src/main/java/org/globus/gsi/OpenSSLKey.java,repos/812511/ssl-proxies/src/test/java/org/globus/gsi/OpenSSLKeyTest.java,ssl-proxies
49126308,ElasticScroll,ElasticScrollTest,repos/49126308/db-scroll-elastic/src/main/java/com/jeromeloisel/database/scroll/elastic/ElasticScroll.java,repos/49126308/db-scroll-elastic/src/test/java/com/jeromeloisel/database/scroll/elastic/ElasticScrollTest.java,db-scroll-elastic
5093728,FeatureContext,FeatureContextTest,repos/5093728/core/src/main/java/com/googlecode/fitchy/FeatureContext.java,repos/5093728/core/src/test/java/com/googlecode/fitchy/FeatureContextTest.java,core
5093728,AnnotationRetriever,AnnotationRetrieverTest,repos/5093728/core/src/main/java/com/googlecode/fitchy/resolver/AnnotationRetriever.java,repos/5093728/core/src/test/java/com/googlecode/fitchy/resolver/AnnotationRetrieverTest.java,core
74458764,RepositoryBackedSession,TestRepositoryBackedSession,repos/74458764/session-replacement/src/main/java/com/amadeus/session/RepositoryBackedSession.java,repos/74458764/session-replacement/src/test/java/com/amadeus/session/TestRepositoryBackedSession.java,session-replacement
74458764,RedisConfiguration,TestRedisConfiguration,repos/74458764/session-replacement/src/main/java/com/amadeus/session/repository/redis/RedisConfiguration.java,repos/74458764/session-replacement/src/test/java/com/amadeus/session/repository/redis/TestRedisConfiguration.java,session-replacement
74458764,SessionConfiguration,TestSessionConfiguration,repos/74458764/session-replacement/src/main/java/com/amadeus/session/SessionConfiguration.java,repos/74458764/session-replacement/src/test/java/com/amadeus/session/TestSessionConfiguration.java,session-replacement
7283919,DataCell,DataCellTest,repos/7283919/dbfit-java/core/src/main/java/dbfit/util/DataCell.java,repos/7283919/dbfit-java/core/src/test/java/dbfit/util/DataCellTest.java,dbfit-java
7283919,TeradataDatePeriod,TeradataDatePeriodTest,repos/7283919/dbfit-java/teradata/src/main/java/dbfit/environment/TeradataDatePeriod.java,repos/7283919/dbfit-java/teradata/src/test/java/dbfit/environment/TeradataDatePeriodTest.java,dbfit-java
7283919,DbParameterAccessorsMapBuilder,DbParameterAccessorsMapBuilderTest,repos/7283919/dbfit-java/core/src/main/java/dbfit/util/DbParameterAccessorsMapBuilder.java,repos/7283919/dbfit-java/core/src/test/java/dbfit/util/DbParameterAccessorsMapBuilderTest.java,dbfit-java
54620819,PackageList,PackageListTest,repos/54620819/mvn-golang-wrapper/src/main/java/com/igormaznitsa/mvngolang/utils/PackageList.java,repos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/utils/PackageListTest.java,mvn-golang-wrapper
54231507,UnhandledAlertHandlingWebDriver,UnhandledAlertHandlingWebDriverTest,repos/54231507/core/src/main/java/ru/stqa/selenium/decorated/alerts/UnhandledAlertHandlingWebDriver.java,repos/54231507/core/src/test/java/ru/stqa/selenium/decorated/alerts/UnhandledAlertHandlingWebDriverTest.java,core
37728390,AttributeValue,AttributeValueTest,repos/37728390/contrib/geomason/src/main/java/sim/util/geo/AttributeValue.java,repos/37728390/contrib/geomason/src/test/java/sim/util/geo/AttributeValueTest.java,contrib/geomason
39770930,JsonWireUtils,JsonWireUtilsTest,repos/39770930/proxy/src/main/java/ru/qatools/gridrouter/JsonWireUtils.java,repos/39770930/proxy/src/test/java/ru/qatools/gridrouter/JsonWireUtilsTest.java,proxy
79246257,ArgusClient,ArgusClientTest,repos/79246257/client/argus-client/src/main/java/com/salesforce/argus/ArgusClient.java,repos/79246257/client/argus-client/src/test/java/com/salesforce/argus/ArgusClientTest.java,client/argus-client
79246257,FormatUtils,FormatUtilsTest,repos/79246257/plugin-api/src/main/java/com/salesforce/pyplyn/util/FormatUtils.java,repos/79246257/plugin-api/src/test/java/com/salesforce/pyplyn/util/FormatUtilsTest.java,plugin-api
57251243,WingtipsRequestSpanCompletionAsyncListener,WingtipsRequestSpanCompletionAsyncListenerTest,repos/57251243/wingtips-servlet-api/src/main/java/com/nike/wingtips/servlet/WingtipsRequestSpanCompletionAsyncListener.java,repos/57251243/wingtips-servlet-api/src/test/java/com/nike/wingtips/servlet/WingtipsRequestSpanCompletionAsyncListenerTest.java,wingtips-servlet-api
57251243,WingtipsToZipkinSpanConverterDefaultImpl,WingtipsToZipkinSpanConverterDefaultImplTest,repos/57251243/wingtips-zipkin2/src/main/java/com/nike/wingtips/zipkin2/util/WingtipsToZipkinSpanConverterDefaultImpl.java,repos/57251243/wingtips-zipkin2/src/test/java/com/nike/wingtips/zipkin2/util/WingtipsToZipkinSpanConverterDefaultImplTest.java,wingtips-zipkin2
70711909,HereAccount,HereAccountTest,repos/70711909/here-oauth-client/src/main/java/com/here/account/oauth2/HereAccount.java,repos/70711909/here-oauth-client/src/test/java/com/here/account/oauth2/HereAccountTest.java,here-oauth-client
70711909,ApacheHttpClientProvider,ApacheHttpClientProviderTest,repos/70711909/here-oauth-client/src/main/java/com/here/account/http/apache/ApacheHttpClientProvider.java,repos/70711909/here-oauth-client/src/test/java/com/here/account/http/apache/ApacheHttpClientProviderTest.java,here-oauth-client
70711909,FromHereCredentialsIniStream,FromHereCredentialsIniStreamTest,repos/70711909/here-oauth-client/src/main/java/com/here/account/auth/provider/FromHereCredentialsIniStream.java,repos/70711909/here-oauth-client/src/test/java/com/here/account/auth/provider/FromHereCredentialsIniStreamTest.java,here-oauth-client
58767125,DefaultBigDecimalMath,DefaultBigDecimalMathTest,repos/58767125/ch.obermuhlner.math.big/src/main/java/ch/obermuhlner/math/big/DefaultBigDecimalMath.java,repos/58767125/ch.obermuhlner.math.big/src/test/java/ch/obermuhlner/math/big/DefaultBigDecimalMathTest.java,ch.obermuhlner.math.big
37489990,DatastoreManager,DatastoreManagerTest,repos/37489990/tomcat-gcp-lib/src/main/java/com/google/cloud/runtimes/tomcat/session/DatastoreManager.java,repos/37489990/tomcat-gcp-lib/src/test/java/com/google/cloud/runtimes/tomcat/session/DatastoreManagerTest.java,tomcat-gcp-lib
