repo_id,repo_url,commit_sha,class_key,focal_class,focal_path,mapping_count,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,build_tool,build_root,module_dir,module_selector,scope_key,declared_java_version,effective_java_runtime,selected_type,selection_rank_in_repo,selection_hash,selection_seed,selection_algorithm,complexity_half,replacement_of,replacement_reason,repository_storage_path,promotion_status
6944525,https://github.com/linkedin/rest.li,8173ce2d3eb0a997f0c24df136134486fb4c3cd3,6944525:d2/src/main/java/com/linkedin/d2/balancer/clients/requesttimeoutclient.java,RequestTimeoutClient,d2/src/main/java/com/linkedin/d2/balancer/clients/RequestTimeoutClient.java,1,114,814,8,6,6,13,1.625,gradle,.,d2,d2,gradle:d2,8,8,backup,11,41d8a3dabdf599716c272b64df0937d91ebe2dcf1f6e6b4f9ea8269567bbfe29,42,sha256_repo_balanced_v3_1,,,,repos/successful/6944525,promoted
6944525,https://github.com/linkedin/rest.li,8173ce2d3eb0a997f0c24df136134486fb4c3cd3,6944525:d2/src/main/java/com/linkedin/d2/balancer/util/d2urirewriter.java,D2URIRewriter,d2/src/main/java/com/linkedin/d2/balancer/util/D2URIRewriter.java,1,30,190,2,1,2,3,1.5,gradle,.,d2,d2,gradle:d2,8,8,backup,12,4798c793ca2d856c135f9fe38bf811b4afb8fe8b838e969515477ba7bcdba556,42,sha256_repo_balanced_v3_1,,,,repos/successful/6944525,promoted
9619226,https://github.com/3pillarlabs/spring-data-simpledb,f1e0eb4e48ec4674d3966e8f5bc04c95031f93ae,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/core/querybuilder.java,QueryBuilder,spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/core/QueryBuilder.java,2,93,635,11,5,4,21,1.9090909090909092,maven,.,spring-data-simpledb-impl,spring-data-simpledb-impl,maven:spring-data-simpledb-impl,6,8,backup,11,f267ba4322e3a976740dd41f67ab3dcadb22e97eb613ead3dcfbb141492d47d0,42,sha256_repo_balanced_v3_1,,,,repos/successful/9619226,promoted_before_storage_audit
9619226,https://github.com/3pillarlabs/spring-data-simpledb,f1e0eb4e48ec4674d3966e8f5bc04c95031f93ae,9619226:spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/core/entity/entitywrapper.java,EntityWrapper,spring-data-simpledb-impl/src/main/java/org/springframework/data/simpledb/core/entity/EntityWrapper.java,2,128,1070,16,9,4,30,1.875,maven,.,spring-data-simpledb-impl,spring-data-simpledb-impl,maven:spring-data-simpledb-impl,6,8,backup,12,ff4b9da969cad89ebd64f811c510c07afebc11b446f328bafe3b196c91043fef,42,sha256_repo_balanced_v3_1,,,,repos/successful/9619226,promoted_before_storage_audit
9884445,https://github.com/minnal/minnal,50989185555e0d8969319bb20ae8e596db4ff545,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/manytooneannotationhandler.java,ManyToOneAnnotationHandler,minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/entity/metadata/handler/ManyToOneAnnotationHandler.java,1,8,42,1,1,1,1,1.0,maven,.,minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,7,8,backup,11,8773dc7afaa97e2f6cef1a5ce02481aa139c6b325d170ef7a6c9b8d6ae999773,42,sha256_repo_balanced_v3_1,,,,repos/successful/9884445,promoted_before_storage_audit
9884445,https://github.com/minnal/minnal,50989185555e0d8969319bb20ae8e596db4ff545,9884445:minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/resource/resourcewrapper.java,ResourceWrapper,minnal-jaxrs/minnal-instrumentation-jaxrs/src/main/java/org/minnal/instrument/resource/ResourceWrapper.java,8,184,1309,25,12,11,47,1.88,maven,.,minnal-jaxrs/minnal-instrumentation-jaxrs,minnal-jaxrs/minnal-instrumentation-jaxrs,maven:minnal-jaxrs/minnal-instrumentation-jaxrs,7,8,backup,12,b84f90ed8299993a2db11a26db7b6bd12dee82d9479b5198834143913a88c0b1,42,sha256_repo_balanced_v3_1,,,,repos/successful/9884445,promoted_before_storage_audit
39195736,https://github.com/racodond/sonar-jproperties-plugin,7a6e8c332e5db8d2a89212fe8defe8b8fdb6c3f6,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/filenamecheck.java,FileNameCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/FileNameCheck.java,3,49,328,3,2,2,5,1.6666666666666667,maven,.,jproperties-checks,jproperties-checks,maven:jproperties-checks,8,8,backup,11,b699118144e8dd057d4a84e79b5f637ab092e7cc6a1b85b4efb3b6de7f990c93,42,sha256_repo_balanced_v3_1,,,,repos/successful/39195736,promoted_before_storage_audit
39195736,https://github.com/racodond/sonar-jproperties-plugin,7a6e8c332e5db8d2a89212fe8defe8b8fdb6c3f6,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/sonarscannerjavapropertiesrulesdefinition.java,SonarScannerJavaPropertiesRulesDefinition,sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/SonarScannerJavaPropertiesRulesDefinition.java,1,23,168,2,2,1,2,1.0,maven,.,sonar-jproperties-plugin,sonar-jproperties-plugin,maven:sonar-jproperties-plugin,8,8,backup,12,d2c9f28c4827e82393d0f78019b241a0f7c4b954bac1770fab56a06e1e5b85c2,42,sha256_repo_balanced_v3_1,,,,repos/successful/39195736,promoted_before_storage_audit
41547678,https://github.com/ftomassetti/turin-programming-language,ae4aa23f92727a28479c99c3fd79b6c6d73fdd20,41547678:turin-compiler/src/main/java/me/tomassetti/turin/util/either.java,Either,turin-compiler/src/main/java/me/tomassetti/turin/util/Either.java,7,62,384,10,9,7,23,2.3,maven,.,turin-compiler,turin-compiler,maven:turin-compiler,8,8,backup,11,df933ec9f8820dbb65aa8e0015eb65815efd68b9dac92d4009ed573762353afe,42,sha256_repo_balanced_v3_1,,,,repos/successful/41547678,promoted_before_storage_audit
41547678,https://github.com/ftomassetti/turin-programming-language,ae4aa23f92727a28479c99c3fd79b6c6d73fdd20,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/unsignedprimitivetypeusage.java,UnsignedPrimitiveTypeUsage,turin-compiler/src/main/java/me/tomassetti/turin/typesystem/UnsignedPrimitiveTypeUsage.java,10,98,612,15,13,3,21,1.4,maven,.,turin-compiler,turin-compiler,maven:turin-compiler,8,8,backup,12,ef519c7cf0257f67629cba3fd11d6d90c67b75b7b1f924f29823876c744fd8ae,42,sha256_repo_balanced_v3_1,,,,repos/successful/41547678,promoted_before_storage_audit
41627638,https://github.com/cuipengfei/Spikes,3b98b697479020d277bcf69f5651102982d7ba12,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/reversestring/solution.java,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/ReverseString/Solution.java,2,19,120,1,1,4,4,4.0,gradle,leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,.,gradle:leetcode/battleships-in-a-board,8,8,backup,11,68aec3e4cd9aafbc72fa8b58fc489782ce87c2a7b1215c76972a1af7e040d0be,42,sha256_repo_balanced_v3_1,,,,repos/successful/41627638,promoted_before_storage_audit
41627638,https://github.com/cuipengfei/Spikes,3b98b697479020d277bcf69f5651102982d7ba12,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/solution.java,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/Solution.java,7,143,852,17,8,8,33,1.9411764705882353,gradle,leetcode/battleships-in-a-board,leetcode/battleships-in-a-board,.,gradle:leetcode/battleships-in-a-board,8,8,backup,12,6e61e2c4961e5cda5b246e5193a66332d69ac2d915923eb0f28720670fe8dded,42,sha256_repo_balanced_v3_1,,,,repos/successful/41627638,promoted_before_storage_audit
43105609,https://github.com/borball/weixin-sdk,ed624144fda218f7f85915de26012fa15940c87c,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/stat/stats.java,Stats,weixin-mp/src/main/java/com/riversoft/weixin/mp/stat/Stats.java,2,95,799,12,11,2,14,1.1666666666666667,maven,.,weixin-mp,weixin-mp,maven:weixin-mp,unknown,8,backup,11,d7569ae412caa236b3d1c924d0f320430985c67f3e750b0dbb29ffb961a1cdd9,42,sha256_repo_balanced_v3_1,,,,repos/successful/43105609,promoted
43105609,https://github.com/borball/weixin-sdk,ed624144fda218f7f85915de26012fa15940c87c,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/oauth2/mpoauth2s.java,MpOAuth2s,weixin-mp/src/main/java/com/riversoft/weixin/mp/oauth2/MpOAuth2s.java,1,62,595,9,9,3,11,1.2222222222222223,maven,.,weixin-mp,weixin-mp,maven:weixin-mp,unknown,8,backup,12,dab8ee787643488e1b475c88c682b55b7a7816c04f19f869ef4a13044bb3aef6,42,sha256_repo_balanced_v3_1,,,,repos/successful/43105609,promoted
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/project/resolvedimportpath.java,ResolvedImportPath,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/project/ResolvedImportPath.java,2,52,354,8,6,3,12,1.5,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,8,8,backup,11,235b2d3fcccaa20cb7bbbe2ae1efbf3e18dafe92105007935ff383c78ec9725e,42,sha256_repo_balanced_v3_1,,,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/expressionevaluatedevent.java,ExpressionEvaluatedEvent,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/ExpressionEvaluatedEvent.java,9,56,465,8,7,6,16,2.0,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,8,8,backup,12,26bc657e82a30e35deb24807f4c0dd9af70c39f4692f8ee82ab737b17638417c,42,sha256_repo_balanced_v3_1,,,,repos/successful/44308560,promoted_before_storage_audit
45997449,https://github.com/eBay/WebRex,e1b925b6ebf9aa47a698d5bd869c77e33a654894,45997449:webrex/src/main/java/com/ebayopensource/webrex/util/elhelper.java,ELHelper,WebRex/src/main/java/com/ebayopensource/webrex/util/ELHelper.java,1,140,949,3,3,26,40,13.333333333333334,maven,.,WebRex,WebRex,maven:WebRex,7,8,backup,11,54039f4104d8a3380193734a6781a9cca95461293fba9971c281c1398d0ef8b5,42,sha256_repo_balanced_v3_1,,,,repos/successful/45997449,promoted_before_storage_audit
45997449,https://github.com/eBay/WebRex,e1b925b6ebf9aa47a698d5bd869c77e33a654894,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/unifiedelresolverhelper.java,UnifiedELResolverHelper,WebRex/src/main/java/com/ebayopensource/webrex/resource/expression/UnifiedELResolverHelper.java,1,51,364,3,1,6,12,4.0,maven,.,WebRex,WebRex,maven:WebRex,7,8,backup,12,58fe03e3bb5d0e334364120277d454aa51f28d0ef80cbbf9d92286c2a8fe29e7,42,sha256_repo_balanced_v3_1,,,,repos/successful/45997449,promoted_before_storage_audit
46396068,https://github.com/kakao/hbase-tools,233e9ab0a4a31da9f5387fbb453db6d5799c072d,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/rationumber.java,RatioNumber,hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/RatioNumber.java,8,93,617,12,11,6,25,2.0833333333333335,maven,hbase0.98,hbase0.98/hbase-common-0.98,hbase-common-0.98,maven:hbase0.98/hbase-common-0.98,8,8,backup,11,e1f1c5decf9f697b5cd03f5214f0871bcef18151fea501f853a36110569da152,42,sha256_repo_balanced_v3_1,,,,repos/successful/46396068,promoted_before_storage_audit
46396068,https://github.com/kakao/hbase-tools,233e9ab0a4a31da9f5387fbb453db6d5799c072d,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/exportkeys.java,ExportKeys,hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/ExportKeys.java,5,88,771,5,2,5,16,3.2,maven,hbase0.98,hbase0.98/hbase-manager-0.98,hbase-manager-0.98,maven:hbase0.98/hbase-manager-0.98,8,8,backup,12,f8d531c55e9a5f91a19f8dfdeceddac7137712545d8b16de13a7c1900ca3e32d,42,sha256_repo_balanced_v3_1,,,,repos/successful/46396068,promoted_before_storage_audit
46450575,https://github.com/spotify/flo,91d2e546bc8fa8e6fee9bc8c6dd484d87db3b0af,46450575:contrib/flo-styx/src/main/java/com/spotify/flo/contrib/styx/terminationloggingfactory.java,TerminationLoggingFactory,contrib/flo-styx/src/main/java/com/spotify/flo/contrib/styx/TerminationLoggingFactory.java,1,12,84,1,1,1,1,1.0,maven,.,contrib/flo-styx,contrib/flo-styx,maven:contrib/flo-styx,unknown,8,backup,11,d487a3e0ea2107c301b1699ecf8d177f65292536a2051dafb5dec59606872199,42,sha256_repo_balanced_v3_1,,,,repos/successful/46450575,promoted_before_storage_audit
46450575,https://github.com/spotify/flo,91d2e546bc8fa8e6fee9bc8c6dd484d87db3b0af,46450575:flo-workflow/src/main/java/com/spotify/flo/task.java,Task,flo-workflow/src/main/java/com/spotify/flo/Task.java,10,55,439,6,7,3,8,1.3333333333333333,maven,.,flo-workflow,flo-workflow,maven:flo-workflow,unknown,8,backup,12,da025f474bf42afbb45163ace85f2ad53f8206fad20c57349026881ca8b5c197,42,sha256_repo_balanced_v3_1,,,,repos/successful/46450575,promoted_before_storage_audit
48046454,https://github.com/hazelcast/hazelcast-jet,60c713a718df89fdccedbf34aadcdcb953ae92a6,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/flatmappingtraverser.java,FlatMappingTraverser,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/FlatMappingTraverser.java,2,36,238,4,2,3,7,1.75,maven,.,hazelcast-jet-core,hazelcast-jet-core,maven:hazelcast-jet-core,8,8,backup,11,3a3ba05e081158e748e61179fa9c8529062b6dbace03052a7c20a64164a76241,42,sha256_repo_balanced_v3_1,,,,repos/successful/48046454,promoted
48046454,https://github.com/hazelcast/hazelcast-jet,60c713a718df89fdccedbf34aadcdcb953ae92a6,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/execution/outboximpl.java,OutboxImpl,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/execution/OutboxImpl.java,14,197,1284,15,10,14,42,2.8,maven,.,hazelcast-jet-core,hazelcast-jet-core,maven:hazelcast-jet-core,8,8,backup,12,44ff1910f39a4583e948da4525d0bcc0c6c3ddc355fb96d6a9385e92ec72616b,42,sha256_repo_balanced_v3_1,,,,repos/successful/48046454,promoted
49384652,https://github.com/xiaolongzuo/niubi-job,ed21d5b80f8b16c8b3a0b2fbc688442b878edbe4,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/exceptionhelper.java,ExceptionHelper,niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/ExceptionHelper.java,1,46,426,3,3,12,14,4.666666666666667,maven,.,niubi-job-framework/niubi-job-core,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,8,8,backup,11,ad50556bc5ff6c1dbb8b3dda316d2838be9ccc0fd295da93f72c66767107bd73,42,sha256_repo_balanced_v3_1,,,,repos/successful/49384652,promoted
49384652,https://github.com/xiaolongzuo/niubi-job,ed21d5b80f8b16c8b3a0b2fbc688442b878edbe4,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/stringhelper.java,StringHelper,niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/StringHelper.java,8,80,490,12,12,3,25,2.0833333333333335,maven,.,niubi-job-framework/niubi-job-core,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,8,8,backup,12,dd2df6c8c6588098b169c401189b02974e419fec238731059d629103fa3bdd7c,42,sha256_repo_balanced_v3_1,,,,repos/successful/49384652,promoted
60578004,https://github.com/artoderk/elastic-jobx,1431671595cee4222e4445fc80b5b14e6262d7b8,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/listener/listenermanager.java,ListenerManager,elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/listener/ListenerManager.java,1,43,383,2,1,1,2,1.0,maven,.,elastic-jobx-core,elastic-jobx-core,maven:elastic-jobx-core,6,8,backup,11,49661a0140c0b4a4fb75c9466eba5908b1395f472ac640a7e249674da0b17e8c,42,sha256_repo_balanced_v3_1,,,,repos/successful/60578004,promoted_before_storage_audit
60578004,https://github.com/artoderk/elastic-jobx,1431671595cee4222e4445fc80b5b14e6262d7b8,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/api/jobscheduler.java,JobScheduler,elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/api/JobScheduler.java,2,99,828,8,3,3,15,1.875,maven,.,elastic-jobx-core,elastic-jobx-core,maven:elastic-jobx-core,6,8,backup,12,6e2a68eabe89a75bc49cf6e9f263dd44665666dd66299fe9ecfb32a26d4794a6,42,sha256_repo_balanced_v3_1,,,,repos/successful/60578004,promoted_before_storage_audit
61565876,https://github.com/ljacqu/DependencyInjector,eecb0f51c3f2ae9936c9ff64f486953eb3e48b3d,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/savedannotationshandler.java,SavedAnnotationsHandler,injector/src/main/java/ch/jalu/injector/handlers/dependency/SavedAnnotationsHandler.java,2,31,250,2,2,3,5,2.5,maven,.,injector,injector,maven:injector,8,8,backup,11,bad8b9e0079cafc8bb79caa7bd731ac2cdaa60baa8385e67e7d215bad5b1f9ff,42,sha256_repo_balanced_v3_1,,,,repos/successful/61565876,promoted_before_storage_audit
61565876,https://github.com/ljacqu/DependencyInjector,eecb0f51c3f2ae9936c9ff64f486953eb3e48b3d,61565876:injector/src/main/java/ch/jalu/injector/handlers/instantiation/providerhandler.java,ProviderHandler,injector/src/main/java/ch/jalu/injector/handlers/instantiation/ProviderHandler.java,3,111,822,14,13,3,19,1.3571428571428572,maven,.,injector,injector,maven:injector,8,8,backup,12,c34b91b5ea97d17bb8ba0fe2d6f3e52d1457c1559f9e4fd24fe48a3e2f893fd6,42,sha256_repo_balanced_v3_1,,,,repos/successful/61565876,promoted_before_storage_audit
64487983,https://github.com/ErnestMing/JavaDesignPartternImpl,34431d71b4a00ef79895db9aaca30020baace209,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/domain/lotteryticketcheckresult.java,LotteryTicketCheckResult,hexagonal/src/main/java/com/iluwatar/hexagonal/domain/LotteryTicketCheckResult.java,1,48,230,6,4,6,12,2.0,maven,.,hexagonal,hexagonal,maven:hexagonal,8,8,backup,11,c67cfcbb64b0dd30a69c9fe478d8c8969c6068ee7c808f37b012f2dbec75b55c,42,sha256_repo_balanced_v3_1,,,,repos/successful/64487983,promoted_before_storage_audit
64487983,https://github.com/ErnestMing/JavaDesignPartternImpl,34431d71b4a00ef79895db9aaca30020baace209,64487983:dependency-injection/src/main/java/com/iluwatar/dependency/injection/simplewizard.java,SimpleWizard,dependency-injection/src/main/java/com/iluwatar/dependency/injection/SimpleWizard.java,1,7,39,1,1,1,1,1.0,maven,.,dependency-injection,dependency-injection,maven:dependency-injection,8,8,backup,12,c847a741ead91d649fb16ee3a0ce7f1a1e67080b8bc0672ead0ba9fa521e35b5,42,sha256_repo_balanced_v3_1,,,,repos/successful/64487983,promoted_before_storage_audit
66303306,https://github.com/bazaarvoice/emodb,8184514eb831eb9f874718741ab701d2d02a638c,66303306:web/src/main/java/com/bazaarvoice/emodb/web/scanner/scheduling/stashrequestmanager.java,StashRequestManager,web/src/main/java/com/bazaarvoice/emodb/web/scanner/scheduling/StashRequestManager.java,10,76,660,6,3,3,13,2.1666666666666665,maven,.,web,web,maven:web,unknown,8,backup,11,e5bcedeab0890386629ba4fa0898b8776ac476e6f669c9a6a64aa4b49583d6d6,42,sha256_repo_balanced_v3_1,,,,repos/successful/66303306,promoted
66303306,https://github.com/bazaarvoice/emodb,8184514eb831eb9f874718741ab701d2d02a638c,66303306:web/src/main/java/com/bazaarvoice/emodb/web/auth/apikeyencryption.java,ApiKeyEncryption,web/src/main/java/com/bazaarvoice/emodb/web/auth/ApiKeyEncryption.java,4,21,145,4,3,1,4,1.0,maven,.,web,web,maven:web,unknown,8,backup,12,e6c26270ce497418dbe81209e6d624cfb1cfd4c1d18a19d1cc4799eb728ff035,42,sha256_repo_balanced_v3_1,,,,repos/successful/66303306,promoted
74999474,https://github.com/yahoo/parsec-libraries,142bc4c95a8ca7b8c82f7f95d8144cb6d4bc2096,74999474:parsec-clients/src/main/java/com/yahoo/parsec/clients/standardnameresolver.java,StandardNameResolver,parsec-clients/src/main/java/com/yahoo/parsec/clients/StandardNameResolver.java,2,13,73,2,2,1,2,1.0,gradle,.,parsec-clients,parsec-clients,gradle:parsec-clients,unknown,8,backup,11,ebdfad0639d8fc7566efcabae83af127859e7f7888c51dd2ae5a47a9195b102d,42,sha256_repo_balanced_v3_1,,,,repos/successful/74999474,promoted_before_storage_audit
