﻿id,authors,title,year,source,publisher,articleurl,citesurl,abstract,fulltexturl,relatedurl,String Search,v1_decision,v1_reason,v2_decision,v2_reason
11,"Mà Elhayany, C Meinel",Empowering Educators: Towards a GPT-Based Approach to Automate Unit Test Generation,2025,2025 IEEE Global Engineering ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11016616/,"https://scholar.google.com/scholar?cites=3642799210009345389&as_sdt=2005&sciodt=0,5&hl=en"," -mini Large Language Model (LLM), which powers the ChatGPT chatbot Python, investigating the adaptability of the GPT-4o-mini model to generate unit tests in languages such as Java",,"https://scholar.google.com/scholar?q=related:bT2uxJTSjTIJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Bi bo sử dụng mà hnh GPT-4o-mini, không phải GPT-4 ho?c GPT-4o như yêu cầu bắt buộc.",,
12,"J Long, R Qin, Z Jiang, J Duan, S Li",A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage,2025,2025 18th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11259411/,"https://scholar.google.com/scholar?cites=3454164670635269225&as_sdt=2005&sciodt=0,5&hl=en"," This study addresses key limitations in Python unit test generation, such as low efficiency,  the utility and reliability of LLM based unit test generation. Future research directions include: ",,"https://scholar.google.com/scholar?q=related:aVzrjHeo7y8J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Bi bo không đề cập sử dụng GPT-4 ho?c GPT-4o; tiu d? và tóm tắt chỉ nói và? fine-tuned language models chung chung, không c bằng chứng và? việc dnh gi riêng biệt cho GPT-4.",,
13,"JA Nuh, TW Koh, B Lawal",LLMTestCraft: An Automated Unit Test Case Generator using Large Language Models,2025, Conference on Data ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11351817/,," In this section, we evaluate the effectiveness of LLMTestCraft, our LLM-driven unit test generation system, in producing meaningful and diverse test cases for Python functions. The focus ",,"https://scholar.google.com/scholar?q=related:7bWmtWCHaJoJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,"Không c full-text để xác minh các tiêu chí IC-I (sử dụng GPT-4), IC-E (số liệu coverage), và IC-T (uy tn venue).",Include,"Đọc full-text, xác nhận đủ IC"
14,"G Wang, Q Xu, Là Briand, K Liu",Mutation-guided unit test generation with a large language model,2026,IEEE Transactions on Software ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11478734/,"https://scholar.google.com/scholar?cites=7411730108628209708&as_sdt=2005&sciodt=0,5&hl=en", b) Leetcode-Java: We search GitHub using the keyword "Leetcode Java" and select the top two repositories based on the Best match sorting criterion. These repositories contain ,https://arxiv.org/pdf/2506.02954,"https://scholar.google.com/scholar?q=related:LBDax0PB22YJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,IC-I: Không th? xc d?nh bi bo c sử dụng GPT-4 ho?c GPT-4o hay không t? thông tin được cung cấp.,Include,"Đọc full-text, xác nhận đủ IC"
15,"S Gen, MF Ceylan, A Istanbullu",Software Unit Test Automation with LLM-Based Generative AI: Evaluating Test Quality through Code Coverage and Edge-Case Analysis,2025,2025 10th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11206953/,," are generated from the GPT-4 model using sample functions written in Python and these  automating software unit test generation using a large language model (llm), specifically GPT-4. ",,"https://scholar.google.com/scholar?q=related:AumxFG6gbEsJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-E: Abstract không cung cấp số liệu cụ thể và? branch coverage ho?c mutation score, không th? xác nhận c bảng biểu/con số theo yêu cầu.",,
16,"A Deljouyi, R Koohestani, Mà Izadi",Leveraging large language models for enhancing the understandability of generated unit tests,2025,2025 IEEE/ACM 47th ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11029767/,"https://scholar.google.com/scholar?cites=10067176301599911025&as_sdt=2005&sciodt=0,5&hl=en", Search-Based Software Testing Automated test generation  contextualized test data from the LLM to increase the domain  We limited the controlled experiment in RQ2 to two Java ,https://arxiv.org/pdf/2408.11710?,"https://scholar.google.com/scholar?q=related:cewXFILLtYsJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Không c bằng chứng sử dụng GPT-4 ho?c GPT-4o trong bi bo; IC-E: Không c số liệu thực nghiệm và? Branch Coverage ho?c Mutation Score, bi bo tập trung dnh gi tnh d? hi?u thay và d? bao ph?.",,
17,"Y Shang, Q Zhang, C Fang, S Gu, J Zhou",A large-scale empirical study on fine-tuning large language models for unit testing,2025,Proceedings of the ACM ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3728951,"https://scholar.google.com/scholar?cites=3756770345387541478&as_sdt=2005&sciodt=0,5&hl=en"," As a result, automated test generation has gained substantial  of closed-source LLMs like ChatGPT, many researchers have  tailored to class-level LLM-based test case generation, ",https://dl.acm.org/doi/pdf/10.1145/3728951,"https://scholar.google.com/scholar?q=related:5sOLk7m6IjQJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
18,"T Li, C Cui, R Huang, D Towey, Là Ma",Large language models for automated web-form-test generation: An empirical study,2026,ACM Transactions on Software ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3735553,"https://scholar.google.com/scholar?cites=4515806037117089228&as_sdt=2005&sciodt=0,5&hl=en"," with a specific LLM by sending the name of the LLM to this  For RQ1, we identified 300 Java web applications from  In our experiments, the 11 LLMs used for test-case generation were ",https://dl.acm.org/doi/full/10.1145/3735553,"https://scholar.google.com/scholar?q=related:zLXtPKpdqz4J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
19,"B Sherifi, K Slhoub, F Nembhard",The Potential of Large Language Models in Automating Software Testing: From Generation to Reporting,2025,International Conference on Software ,Springer,https://link.springer.com/chapter/10.1007/978-3-032-08649-5_13,," in Python and Java, demonstrating high test coverage and operational efficiency. The findings of the article emphasize the potential of LLM- enables dynamic test case generation, call ",https://www.researchgate.net/profile/Khaled-Slhoub/publication/396496590_The_Potential_of_Large_Language_Models_in_Automating_Software_Testing_From_Generation_to_Reporting/links/691d17b71bb5f2388c225959/The-Potential-of-Large-Language-Models-in-Automating-Software-Testing-From-Generation-to-Reporting.pdf,"https://scholar.google.com/scholar?q=related:TdDtc9buHOsJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Không đề cập sử dụng GPT-4 ho?c GPT-4o; IC-E: Abstract chỉ nói 'high test coverage' chung chung, không c số liệu cụ thể và? Branch Coverage hay Mutation Score.",,
20,"W Wang, C Yang, Z Wang, Y Huang",Testeval: Benchmarking large language models for test case generation,2025,Findings of the ,aclanthology.org,https://aclanthology.org/2025.findings-naacl.197/,"https://scholar.google.com/scholar?cites=2332847970707460795&as_sdt=2005&sciodt=0,5&hl=en"," novel benchmark for test case generation with LLMs. We collect 210 Python programs from an  We argue that at the current stage of LLM for test case generation, datasets from program",https://aclanthology.org/2025.findings-naacl.197.pdf,"https://scholar.google.com/scholar?q=related:u1ICkd7wXyAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,UNSURE,IC-I: Không thấy đề cập đến GPT-4 ho?c số liệu riêng biệt cho GPT-4 trong phần tóm tắt và đoạn trích; IC-E: Không thấy số liệu thực nghiệm cụ thể và? Branch Coverage ho?c Mutation Score.,Include,"Đọc full-text, xác nhận đủ IC"
21,"B Steenhoek, Mà Tufano, N Sundaresan",Reinforcement learning from automatic feedback for high-quality unit test generation,2025,2025 IEEE/ACM ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11026897/,"https://scholar.google.com/scholar?cites=666950235634566313&as_sdt=2005&sciodt=0,5&hl=en", Our results show that LLM-generated test cases often fail to follow best practices contain  that ChatGPT and Codex are prone to produce test smells on Python and Java code (see  IV-B ,https://arxiv.org/pdf/2310.02368,"https://scholar.google.com/scholar?q=related:qYTcpbR7QQkJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I: Không thấy đề cập sử dụng GPT-4 ho?c GPT-4o, ch? thấy ChatGPT và Codex; IC-E: Không c số liệu thực nghiệm và? Branch Coverage ho?c Mutation Score, ch? tập trung vào test smells và static quality metrics.",,
22,"NB Hasan, MA Islam, JY Khan",Automatic high-level test case generation using large language models,2025,2025 IEEE/ACM 22nd ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11025799/,"https://scholar.google.com/scholar?cites=2435370287861060433&as_sdt=2005&sciodt=0,5&hl=en", 2] frame test case generation as a neural machine translation task (Code?Testcase) and generate test cases for a given (Java)  with Augmented Prompt (MuTAP) that improves LLM test ,https://arxiv.org/pdf/2503.17998,"https://scholar.google.com/scholar?q=related:UdN_qF8szCEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-P, EC-O: Bi bo tập trung vào sinh high-level test case t? use-case, không phải sinh Unit Test tự động cho code Java/Python. Không dp ?ng tr?ng tìm c?t li.",,
23,"S Haldar, LF Capretz",Automated test plan generation using large language models,2026,Software Quality Journal,Springer,https://link.springer.com/article/10.1007/s11219-026-09744-9,"https://scholar.google.com/scholar?cites=17851593404782155988&as_sdt=2005&sciodt=0,5&hl=en"," This study examines whether LLM-generated test plans meet  on unit or module level test case generation, the present work  LLM-driven test plan generation in Java-based applications. ",,"https://scholar.google.com/scholar?q=related:1Bi_rp6ZvfcJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-O: Bi bo tập trung vào sinh k? ho?ch kiểm thử (test plan generation) thay và sinh mà kiểm thử đơn vị tự động (unit test generation).,,
24,"K Kanagaraj, D Handa, KK Nikhil",LLM-Driven Smart Test Case Generation for Scalable Software Testing,2025,2025 2nd ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11342080/,," , but with a 30% decrease in test case generation and execution time. However, limitations  ) like ChatGPT 4.0, Claude 3.0, and Gemini Ultra, in automating Python unit test generation. ",,"https://scholar.google.com/scholar?q=related:yujEhiFPQ0IJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-E: Abstract không đề cập đến số liệu Branch Coverage ho?c Mutation Score, ch? đề cập đến th?i gian th?c thì.",,
25,"A Abdullin, P Derakhshanfar","Test wars: A comparative study of SBST, symbolic execution, and LLM-based approaches to unit test generation",2025,2025 IEEE Conference ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/10989033/,"https://scholar.google.com/scholar?cites=5764967501036037962&as_sdt=2005&sciodt=0,5&hl=en"," We evaluate tools performance on the GitBug Java  automated test generation on realworld projects among the models investigated in this study. Therefore, we consider only ChatGPT-",https://arxiv.org/pdf/2501.10200,"https://scholar.google.com/scholar?q=related:Sqfs6GVHAVAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,INCLUDE,"p ?ng t?t c? tiêu chí: IC-Là (ti?ng Anh), IC-Y (2025), IC-T (h?i ngh? IEEE uy tn), IC-P (sinh unit test Java), IC-I (sử dụng ChatGPT, khả năng cao là GPT-4), IC-E (c số liệu thực nghiệm). Không vi ph?mà tiêu chí loại trừ.",Include,"Đọc full-text, xác nhận đủ IC"
26,"A Diop, F Toure, Mà Badri",From Scenario to Code: Structured Prompting for LLM-Based Unit Test Generation,2025,Proceedings of the 2025 7th World ,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3779657.3779658,, Automated unit test generation is crucial for improving software quality. Existing tools such  Our approach was evaluated on multiple object-oriented projects written in Java from the ,https://dl.acm.org/doi/pdf/10.1145/3779657.3779658,"https://scholar.google.com/scholar?q=related:ffRgFaytFOsJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
27,"CW Hsu, WE Wong, Z Chen",AI-Based Unit Test Framework for C Code With Large Language Models,2025,2025 12th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11320402/,," within prior research on automated test generation and LLM-based code intelligence. We  with a higher-level Python-based testing environment. In this step, the LLM generates pytest ",https://par.nsf.gov/servlets/purl/10669474,"https://scholar.google.com/scholar?q=related:SGhw2GTCXx8J:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
28,"N Wang, X Zhang, H Zhu, X Yuan",Exploration of Code Analysis Driven Unit Test Generation Method Based on Llm,2025,2025 18th International ,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11259220/,, of Java classes selected from version 1.6.0 of the Apache Commons CLI project. As a core open-source Java  evaluating the generalizability of automated unit test generation tools. ,,"https://scholar.google.com/scholar?q=related:f1_WgGu5AtAJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,"IC-I, IC-E: Abstract không đề cập đến việc sử dụng GPT-4/GPT-4o hay số liệu cụ thể và? Branch Coverage/Mutation Score.",,
29,"Z Yang, Là Wang",IntelliUnitGen: A Unit Test Case Generation Framework Based on the Integration of Static Analysis and Prompt Learning,2025,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/11184836/,"https://scholar.google.com/scholar?cites=3582019261917002383&as_sdt=2005&sciodt=0,5&hl=en"," At present, most existing LLM-based test case generation  , and Java version, thereby guiding the LLM to automatically  generate unit test cases for Java programs. The plugin constructs ",https://ieeexplore.ieee.org/iel8/6287639/10820123/11184836.pdf,"https://scholar.google.com/scholar?q=related:j3orVYrjtTEJ:scholar.google.com/&scioq=%22large+language+model%22%7Cllm%7C%22gpt+4%22%7Cchatgpt+%22unit+test+generation%22%7C%22test+case+generation%22%7C%22automated+test+generation%22+java%7Cpython&hl=en&as_sdt=0,5&as_ylo=2025&as_yhi=2026",String A,EXCLUDE,EC-A: Không truy c?p được full-text và abstract thiếu số liệu coverage,,
