Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module,Repo_URL,Commit_SHA,Pilot_Rank,Order_Index,NLOC,Max_Method_CC,Public_Method_Count,Method_Count,Avg_Method_CC,Sum_Method_CC,Java_Version,Build_Tool,Selected_Type,Pilot_Seed,source_row_index,compiled_focal_path,compiled_test_path
54231507,EventFiringWebDriver,EventFiringWebDriverTest,repos/54231507/core/src/main/java/ru/stqa/selenium/decorated/events/EventFiringWebDriver.java,repos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java,core,https://github.com/barancev/decorated-webdriver,5ccb07c06ba9322c50ab04b8f0b67574b8262caa,12,384,103,7,2,12,2.58,31,8,maven,pilot,42,11,compiledrepos/54231507/core/src/main/java/ru/stqa/selenium/decorated/events/EventFiringWebDriver.java,compiledrepos/54231507/core/src/test/java/ru/stqa/selenium/decorated/events/EventFiringWebDriverTest.java
37728390,AttributeValue,AttributeValueTest,repos/37728390/contrib/geomason/src/main/java/sim/util/geo/AttributeValue.java,repos/37728390/contrib/geomason/src/test/java/sim/util/geo/AttributeValueTest.java,contrib/geomason,https://github.com/eclab/mason,08c95296de1b4fa73635e0c301ca9a272af8749e,13,423,101,7,9,17,1.47,25,8,maven,pilot,42,12,compiledrepos/37728390/contrib/geomason/src/main/java/sim/util/geo/AttributeValue.java,compiledrepos/37728390/contrib/geomason/src/test/java/sim/util/geo/AttributeValueTest.java
50552134,SimpleClassScanner,SimpleClassScannerTest,repos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleClassScanner.java,repos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleClassScannerTest.java,confucius-commons-lang,https://github.com/mercyblitz/confucius-commons,ffbe5331df105c4a95ee2f0b95a4eeb6df6a9caa,15,12,72,8,1,6,2.33,14,6,maven,pilot,42,14,compiledrepos/50552134/confucius-commons-lang/src/main/java/org/confucius/commons/lang/io/scanner/SimpleClassScanner.java,compiledrepos/50552134/confucius-commons-lang/src/test/java/org/confucius/commons/lang/io/scanner/SimpleClassScannerTest.java
771158,StatementComparator,StatementComparatorTest,repos/771158/common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,repos/771158/common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java,common,https://github.com/joshsh/sesametools,,16,77,41,8,1,2,4.5,9,unknown_but_builds_with_jdk8,maven,pilot,42,15,compiledrepos/771158/common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,compiledrepos/771158/common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java
5175291,Strings,TestStrings,repos/5175291/airship-shared/src/main/java/io/airlift/airship/shared/Strings.java,repos/5175291/airship-shared/src/test/java/io/airlift/airship/shared/TestStrings.java,airship-shared,https://github.com/airlift/airship,a81374f546e75f5573e846b0df9d769921d1124f,17,79,155,8,5,9,3.89,35,unknown_but_builds_with_jdk8,maven,pilot,42,16,compiledrepos/5175291/airship-shared/src/main/java/io/airlift/airship/shared/Strings.java,compiledrepos/5175291/airship-shared/src/test/java/io/airlift/airship/shared/TestStrings.java
3526892,Pricing,PricingTest,repos/3526892/core/src/main/java/com/datascience/gal/Pricing.java,repos/3526892/core/src/test/java/com/datascience/gal/PricingTest.java,core,https://github.com/ipeirotis/Troia-Server,,18,59,74,9,1,5,4.2,21,unknown_but_builds_with_jdk8,maven,pilot,42,17,compiledrepos/3526892/core/src/main/java/com/datascience/gal/Pricing.java,compiledrepos/3526892/core/src/test/java/com/datascience/gal/PricingTest.java
812511,SimpleMemoryCertStore,SimpleMemoryCertStoreTest,repos/812511/ssl-proxies/src/main/java/org/globus/gsi/provider/simple/SimpleMemoryCertStore.java,repos/812511/ssl-proxies/src/test/java/org/globus/gsi/provider/simple/SimpleMemoryCertStoreTest.java,ssl-proxies,https://github.com/jglobus/JGlobus,bf4f5a185201dbd8ab6f9d67c1ede329557b40ae,19,291,68,9,3,3,5.0,15,unknown_but_builds_with_jdk8,maven,pilot,42,18,compiledrepos/812511/ssl-proxies/src/main/java/org/globus/gsi/provider/simple/SimpleMemoryCertStore.java,compiledrepos/812511/ssl-proxies/src/test/java/org/globus/gsi/provider/simple/SimpleMemoryCertStoreTest.java
57251243,SpanCustomizingApplicationEventListener,SpanCustomizingApplicationEventListenerTest,repos/57251243/wingtips-jersey2/src/main/java/com/nike/wingtips/jersey2/SpanCustomizingApplicationEventListener.java,repos/57251243/wingtips-jersey2/src/test/java/com/nike/wingtips/jersey2/SpanCustomizingApplicationEventListenerTest.java,wingtips-jersey2,https://github.com/Nike-Inc/wingtips,d78a9303c62507f40f8426b027450bd13f73cc94,20,485,77,9,1,6,2.67,16,7,gradle,pilot,42,19,compiledrepos/57251243/wingtips-jersey2/src/main/java/com/nike/wingtips/jersey2/SpanCustomizingApplicationEventListener.java,compiledrepos/57251243/wingtips-jersey2/src/test/java/com/nike/wingtips/jersey2/SpanCustomizingApplicationEventListenerTest.java
70711909,GetHereClientCredentialsIdTokenTutorial,GetHereClientCredentialsIdTokenTutorialTest,repos/70711909/examples/here-oauth-client-example/src/main/java/com/here/account/oauth2/tutorial/GetHereClientCredentialsIdTokenTutorial.java,repos/70711909/examples/here-oauth-client-example/src/test/java/com/here/account/oauth2/tutorial/GetHereClientCredentialsIdTokenTutorialTest.java,examples/here-oauth-client-example,https://github.com/heremaps/here-aaa-java-sdk,05b080cef101c9693e0421cc810d24d52dd0ad00,21,487,88,9,2,4,3.75,15,8,maven,pilot,42,20,compiledrepos/70711909/examples/here-oauth-client-example/src/main/java/com/here/account/oauth2/tutorial/GetHereClientCredentialsIdTokenTutorial.java,compiledrepos/70711909/examples/here-oauth-client-example/src/test/java/com/here/account/oauth2/tutorial/GetHereClientCredentialsIdTokenTutorialTest.java
89562636,CoapServer,CoapServerTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/server/CoapServer.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/server/CoapServerTest.java,coap-core,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,22,76,288,10,6,36,1.97,71,8,maven,pilot,42,21,compiledrepos/89562636/coap-core/src/main/java/com/mbed/coap/server/CoapServer.java,compiledrepos/89562636/coap-core/src/test/java/com/mbed/coap/server/CoapServerTest.java
38080174,OTAlgorithms,OTAlgorithmsTest,repos/38080174/cloud-ot/src/main/java/io/datakernel/ot/OTAlgorithms.java,repos/38080174/cloud-ot/src/test/java/io/datakernel/ot/OTAlgorithmsTest.java,cloud-ot,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,23,263,431,10,12,38,1.74,66,8,maven,pilot,42,22,compiledrepos/38080174/cloud-ot/src/main/java/io/datakernel/ot/OTAlgorithms.java,compiledrepos/38080174/cloud-ot/src/test/java/io/datakernel/ot/OTAlgorithmsTest.java
54620819,GolangBuildMojo,GolangBuildMojoTest,repos/54620819/mvn-golang-wrapper/src/main/java/com/igormaznitsa/mvngolang/GolangBuildMojo.java,repos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java,mvn-golang-wrapper,https://github.com/raydac/mvn-golang,7f86a51cac312a8f7e3f4e4ce424151b0a67c9a5,24,382,184,10,4,20,2.05,41,8,maven,pilot,42,23,compiledrepos/54620819/mvn-golang-wrapper/src/main/java/com/igormaznitsa/mvngolang/GolangBuildMojo.java,compiledrepos/54620819/mvn-golang-wrapper/src/test/java/com/igormaznitsa/mvngolang/GolangBuildMojoTest.java
