Project,Focal_Class,Test_Class,Focal_Path,Test_Path,Module,Repo_URL,Commit_SHA,NLOC,Max_Method_CC,Public_Method_Count,Method_Count,Avg_Method_CC,Sum_Method_CC,Java_Version,Build_Tool,Selected_Type,Pilot_Seed,Dependency_Command,Compile_Command,Test_Compile_Command,Working_Directory,Build_Recipe_ID,Validation_Log,source_row_index,compiled_focal_path,compiled_test_path
6489406,Track,TrackTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/Track.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/TrackTest.java,ais-lib-communication,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,396,13,37,43,1.77,76,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,10,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/Track.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/TrackTest.java
6489406,EventEmittingTrackerImpl,EventEmittingTrackerImplTest,repos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImpl.java,repos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImplTest.java,ais-lib-communication,https://github.com/dma-ais/AisLib,7b3429115a3c1a8d52b30298e17e2a4f757dfd72,291,11,9,24,2.25,54,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/6489406,recipe_6489406,logs/build/6489406_20260712_230641_attempt_1.log,11,compiledrepos/6489406/ais-lib-communication/src/main/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImpl.java,compiledrepos/6489406/ais-lib-communication/src/test/java/dk/dma/ais/tracker/eventEmittingTracker/EventEmittingTrackerImplTest.java
56342003,AbstractService,AbstractServiceTest,repos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,repos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java,kangaroo-server-authz,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,205,7,14,23,1.87,43,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,12,compiledrepos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractService.java,compiledrepos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/admin/v1/resource/AbstractServiceTest.java
56342003,ValidationUtil,ValidationUtilTest,repos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtil.java,repos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtilTest.java,kangaroo-server-authz,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,254,12,16,18,3.56,64,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,13,compiledrepos/56342003/kangaroo-server-authz/src/main/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtil.java,compiledrepos/56342003/kangaroo-server-authz/src/test/java/net/krotscheck/kangaroo/authz/common/util/ValidationUtilTest.java
56342003,RequestUtil,RequestUtilTest,repos/56342003/kangaroo-common/src/main/java/net/krotscheck/kangaroo/util/RequestUtil.java,repos/56342003/kangaroo-common/src/test/java/net/krotscheck/kangaroo/util/RequestUtilTest.java,kangaroo-common,https://github.com/kangaroo-server/kangaroo,8b71eb416b7db8acd10467cefd57dc0a6b2c84c5,120,5,7,8,2.5,20,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/56342003,recipe_56342003,logs/build/56342003_20260712_230641_attempt_1.log,14,compiledrepos/56342003/kangaroo-common/src/main/java/net/krotscheck/kangaroo/util/RequestUtil.java,compiledrepos/56342003/kangaroo-common/src/test/java/net/krotscheck/kangaroo/util/RequestUtilTest.java
3526892,ProjectCommandExecutor,ProjectCommandExecutorTest,repos/3526892/core/src/main/java/com/datascience/executor/ProjectCommandExecutor.java,repos/3526892/core/src/test/java/com/datascience/executor/ProjectCommandExecutorTest.java,core,https://github.com/ipeirotis/Troia-Server,5c18a6cc519a148c58d8ed5483fb6809e5623ee9,119,4,7,14,1.64,23,unknown_but_builds_with_jdk8,maven,main,42,mvn -U -s ../../repair_configs/3526892/settings_retry.xml test-compile -DskipTests -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true -Ddocker.skip=true -Dfrontend.skip=true,mvn -U -s ../../repair_configs/3526892/settings_retry.xml test-compile -DskipTests -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true -Ddocker.skip=true -Dfrontend.skip=true,mvn -U -s ../../repair_configs/3526892/settings_retry.xml test-compile -DskipTests -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true -Ddocker.skip=true -Dfrontend.skip=true,,recipe_3526892,logs/repair/3526892_20260713_192338_attempt_2.log,15,compiledrepos/3526892/core/src/main/java/com/datascience/executor/ProjectCommandExecutor.java,compiledrepos/3526892/core/src/test/java/com/datascience/executor/ProjectCommandExecutorTest.java
89562636,TransactionManager,TransactionManagerTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/server/internal/TransactionManager.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/server/internal/TransactionManagerTest.java,coap-core,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,98,6,8,9,2.33,21,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/89562636,recipe_89562636,logs/build/89562636_20260712_230641_attempt_1.log,16,compiledrepos/89562636/coap-core/src/main/java/com/mbed/coap/server/internal/TransactionManager.java,compiledrepos/89562636/coap-core/src/test/java/com/mbed/coap/server/internal/TransactionManagerTest.java
89562636,CoapPacket,CoapPacketTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/packet/CoapPacket.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/packet/CoapPacketTest.java,coap-core,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,365,12,37,42,2.38,100,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/89562636,recipe_89562636,logs/build/89562636_20260712_230641_attempt_1.log,17,compiledrepos/89562636/coap-core/src/main/java/com/mbed/coap/packet/CoapPacket.java,compiledrepos/89562636/coap-core/src/test/java/com/mbed/coap/packet/CoapPacketTest.java
89562636,CoapTcpCSM,CoapTcpCSMTest,repos/89562636/coap-core/src/main/java/com/mbed/coap/server/internal/CoapTcpCSM.java,repos/89562636/coap-core/src/test/java/com/mbed/coap/server/internal/CoapTcpCSMTest.java,coap-core,https://github.com/ARMmbed/java-coap,9f74a3ae0aa1cdf9a8109bf58a113e4893683271,104,9,13,13,2.69,35,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/89562636,recipe_89562636,logs/build/89562636_20260712_230641_attempt_1.log,18,compiledrepos/89562636/coap-core/src/main/java/com/mbed/coap/server/internal/CoapTcpCSM.java,compiledrepos/89562636/coap-core/src/test/java/com/mbed/coap/server/internal/CoapTcpCSMTest.java
771158,StatementComparator,StatementComparatorTest,repos/771158/common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,repos/771158/common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java,common,https://github.com/joshsh/sesametools,178d0470d13fcbe995347b86fd971f15ca5b5fe9,41,8,2,2,4.5,9,unknown_but_builds_with_jdk8,maven,main,42,mvn -U -s ../../repair_configs/771158/settings_retry.xml test-compile -DskipTests,mvn -U -s ../../repair_configs/771158/settings_retry.xml test-compile -DskipTests,mvn -U -s ../../repair_configs/771158/settings_retry.xml test-compile -DskipTests,,recipe_771158,logs/repair/771158_20260713_193050_attempt_1.log,19,compiledrepos/771158/common/src/main/java/net/fortytwo/sesametools/StatementComparator.java,compiledrepos/771158/common/src/test/java/net/fortytwo/sesametools/StatementComparatorTest.java
5175291,AdminResource,TestAdminResource,repos/5175291/airship-coordinator/src/main/java/io/airlift/airship/coordinator/AdminResource.java,repos/5175291/airship-coordinator/src/test/java/io/airlift/airship/coordinator/TestAdminResource.java,airship-coordinator,https://github.com/airlift/airship,a81374f546e75f5573e846b0df9d769921d1124f,108,2,6,6,1.17,7,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/5175291,recipe_5175291,logs/build/5175291_20260712_230641_attempt_1.log,20,compiledrepos/5175291/airship-coordinator/src/main/java/io/airlift/airship/coordinator/AdminResource.java,compiledrepos/5175291/airship-coordinator/src/test/java/io/airlift/airship/coordinator/TestAdminResource.java
5175291,MavenCoordinates,TestMavenCoordinates,repos/5175291/airship-shared/src/main/java/io/airlift/airship/shared/MavenCoordinates.java,repos/5175291/airship-shared/src/test/java/io/airlift/airship/shared/TestMavenCoordinates.java,airship-shared,https://github.com/airlift/airship,a81374f546e75f5573e846b0df9d769921d1124f,218,13,19,20,2.95,59,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/5175291,recipe_5175291,logs/build/5175291_20260712_230641_attempt_1.log,21,compiledrepos/5175291/airship-shared/src/main/java/io/airlift/airship/shared/MavenCoordinates.java,compiledrepos/5175291/airship-shared/src/test/java/io/airlift/airship/shared/TestMavenCoordinates.java
5745625,ObjectQueue,ObjectQueueTest,repos/5745625/tape/src/main/java/com/squareup/tape2/ObjectQueue.java,repos/5745625/tape/src/test/java/com/squareup/tape2/ObjectQueueTest.java,tape,https://github.com/square/tape,445cd3fd0a7b3ec48c9ea3e0e86663fe6d3735d8,47,2,7,7,1.14,8,unknown_but_builds_with_jdk8,gradle,main,42,gradlew.bat dependencies,gradlew.bat testClasses -x test,gradlew.bat testClasses -x test,repos/successful/5745625,recipe_5745625,logs/build/5745625_20260712_230641_attempt_1.log,22,compiledrepos/5745625/tape/src/main/java/com/squareup/tape2/ObjectQueue.java,compiledrepos/5745625/tape/src/test/java/com/squareup/tape2/ObjectQueueTest.java
960343,SimpleTier,TestSimpleTier,repos/960343/3-sat-core/src/main/java/com/anjlab/sat3/SimpleTier.java,repos/960343/3-sat-core/src/test/java/com/anjlab/sat3/TestSimpleTier.java,3-sat-core,https://github.com/anjlab/sat3,c903a6fccd53f91955af62f14f45b3206687ca12,303,10,24,29,2.1,61,6,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/960343,recipe_960343,logs/build/960343_20260712_230641_attempt_1.log,23,compiledrepos/960343/3-sat-core/src/main/java/com/anjlab/sat3/SimpleTier.java,compiledrepos/960343/3-sat-core/src/test/java/com/anjlab/sat3/TestSimpleTier.java
82282677,TimingSource,TestTimingSource,repos/82282677/timingframework-core/src/main/java/org/jdesktop/core/animation/timing/TimingSource.java,repos/82282677/timingframework-core/src/test/java/org/jdesktop/core/animation/timing/TestTimingSource.java,timingframework-core,https://github.com/akuhtz/timingframework,8b8376182371c38c198e2b9c28ef2bc179f1e6f4,65,7,7,7,2.29,16,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/82282677,recipe_82282677,logs/build/82282677_20260712_230641_attempt_1.log,24,compiledrepos/82282677/timingframework-core/src/main/java/org/jdesktop/core/animation/timing/TimingSource.java,compiledrepos/82282677/timingframework-core/src/test/java/org/jdesktop/core/animation/timing/TestTimingSource.java
74217,CobolFieldDefinitionFactory,CobolFieldDefinitionFactoryTest,repos/74217/flapjack-cobol/src/main/java/flapjack/cobol/layout/CobolFieldDefinitionFactory.java,repos/74217/flapjack-cobol/src/test/java/flapjack/cobol/layout/CobolFieldDefinitionFactoryTest.java,flapjack-cobol,https://github.com/born2snipe/flapjack,c32599a0db5c97a47820f2c8c943dcb65591470b,12,3,1,1,3.0,3,unknown_but_builds_with_jdk8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/74217,recipe_74217,logs/build/74217_20260713_140736_attempt_1.log,25,compiledrepos/74217/flapjack-cobol/src/main/java/flapjack/cobol/layout/CobolFieldDefinitionFactory.java,compiledrepos/74217/flapjack-cobol/src/test/java/flapjack/cobol/layout/CobolFieldDefinitionFactoryTest.java
35132359,UrlUtil,UrlUtilTest,repos/35132359/hapi-fhir-base/src/main/java/ca/uhn/fhir/util/UrlUtil.java,repos/35132359/hapi-fhir-base/src/test/java/ca/uhn/fhir/util/UrlUtilTest.java,hapi-fhir-base,https://github.com/gajen0981/FHIR-Server,1e9ad63500908488e7f41de1783c2bf85972de37,101,12,5,5,6.2,31,6,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/35132359,recipe_35132359,logs/build/35132359_20260712_230641_attempt_1.log,26,compiledrepos/35132359/hapi-fhir-base/src/main/java/ca/uhn/fhir/util/UrlUtil.java,compiledrepos/35132359/hapi-fhir-base/src/test/java/ca/uhn/fhir/util/UrlUtilTest.java
73087334,DatabaseLoadedSAML2Clients,DatabaseLoadedSAML2ClientsTest,repos/73087334/pac4j-saml-config-db/src/main/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2Clients.java,repos/73087334/pac4j-saml-config-db/src/test/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2ClientsTest.java,pac4j-saml-config-db,https://github.com/jkacer/pac4j-extensions,25ce72b3b1a59fd33560d03aea8fe18ddbc07040,70,4,4,6,1.67,10,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/73087334,recipe_73087334,logs/build/73087334_20260712_230641_attempt_1.log,27,compiledrepos/73087334/pac4j-saml-config-db/src/main/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2Clients.java,compiledrepos/73087334/pac4j-saml-config-db/src/test/java/com/idc/webchannel/pac4j/extensions/saml/client/DatabaseLoadedSAML2ClientsTest.java
7091762,CronExpressionFormatter,CronExpressionFormatterTest,repos/7091762/cron-parser-spring/src/main/java/net/redhogs/cronparser/format/CronExpressionFormatter.java,repos/7091762/cron-parser-spring/src/test/java/net/redhogs/cronparser/format/CronExpressionFormatterTest.java,cron-parser-spring,https://github.com/grahamar/cron-parser,7d3ec2aefc5d4756c48ad145ce1ce6b610dd7185,30,3,4,4,1.5,6,7,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/7091762,recipe_7091762,logs/build/7091762_20260712_230641_attempt_1.log,28,compiledrepos/7091762/cron-parser-spring/src/main/java/net/redhogs/cronparser/format/CronExpressionFormatter.java,compiledrepos/7091762/cron-parser-spring/src/test/java/net/redhogs/cronparser/format/CronExpressionFormatterTest.java
38080174,HttpMessage,HttpMessageTest,repos/38080174/core-http/src/main/java/io/datakernel/http/HttpMessage.java,repos/38080174/core-http/src/test/java/io/datakernel/http/HttpMessageTest.java,core-http,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,304,7,31,37,2.54,94,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,29,compiledrepos/38080174/core-http/src/main/java/io/datakernel/http/HttpMessage.java,compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/HttpMessageTest.java
38080174,ContentType,ContentTypeTest,repos/38080174/core-http/src/main/java/io/datakernel/http/ContentType.java,repos/38080174/core-http/src/test/java/io/datakernel/http/ContentTypeTest.java,core-http,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,111,14,7,12,2.75,33,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,30,compiledrepos/38080174/core-http/src/main/java/io/datakernel/http/ContentType.java,compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/ContentTypeTest.java
38080174,ReadSettings,ReadSettingsTest,repos/38080174/uikernel/src/main/java/io/datakernel/uikernel/ReadSettings.java,repos/38080174/uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java,uikernel,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,136,14,9,13,2.08,27,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,31,compiledrepos/38080174/uikernel/src/main/java/io/datakernel/uikernel/ReadSettings.java,compiledrepos/38080174/uikernel/src/test/java/io/datakernel/uikernel/ReadSettingsTest.java
38080174,HttpCookie,HttpCookieTest,repos/38080174/core-http/src/main/java/io/datakernel/http/HttpCookie.java,repos/38080174/core-http/src/test/java/io/datakernel/http/HttpCookieTest.java,core-http,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,362,13,32,48,2.06,99,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,32,compiledrepos/38080174/core-http/src/main/java/io/datakernel/http/HttpCookie.java,compiledrepos/38080174/core-http/src/test/java/io/datakernel/http/HttpCookieTest.java
38080174,Utils,UtilsTest,repos/38080174/util-common/src/main/java/io/datakernel/common/Utils.java,repos/38080174/util-common/src/test/java/io/datakernel/common/UtilsTest.java,util-common,https://github.com/softindex/datakernel,69a6bcb85be43177d96ea56041b63e8d8ffb10de,170,12,22,23,2.52,58,8,maven,main,42,mvn dependency:go-offline -DskipTests,mvn test-compile -DskipTests,mvn test-compile -DskipTests,repos/successful/38080174,recipe_38080174,logs/build/38080174_20260712_230641_attempt_1.log,33,compiledrepos/38080174/util-common/src/main/java/io/datakernel/common/Utils.java,compiledrepos/38080174/util-common/src/test/java/io/datakernel/common/UtilsTest.java
