sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,arm,generator,prompt,compilation,fail_stage,branch_coverage,line_coverage,method_coverage,mutation_coverage,strict_branch_coverage,strict_line_coverage,strict_method_coverage,strict_mutation_coverage
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,SeparatorConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/SeparatorConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,higher_complexity_half,74,554,5,3,9,15,3.0,2,249,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,39195736,39195736,SeparatorConventionCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/SeparatorConventionCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,higher_complexity_half,74,554,5,3,9,15,3.0,2,249,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
6,41547678:turin-standard-library/src/main/java/turin/context/context.java,41547678,41547678,Context,turin-standard-library/src/main/java/turin/context/Context.java,turin-standard-library,maven:turin-standard-library,Maven,1.8,lower_complexity_half,32,212,5,4,2,6,1.2,3,58,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,1,ok,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,41547678:turin-standard-library/src/main/java/turin/context/context.java,41547678,41547678,Context,turin-standard-library/src/main/java/turin/context/Context.java,turin-standard-library,maven:turin-standard-library,Maven,1.8,lower_complexity_half,32,212,5,4,2,6,1.2,3,58,pilot60,evosuite,evosuite,-,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,41547678,41547678,SrcSymbolResolver,turin-compiler/src/main/java/me/tomassetti/turin/resolvers/SrcSymbolResolver.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,116,938,10,9,7,24,2.4,1,222,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,41547678,41547678,SrcSymbolResolver,turin-compiler/src/main/java/me/tomassetti/turin/resolvers/SrcSymbolResolver.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,116,938,10,9,7,24,2.4,1,222,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/battleship/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,30,179,3,1,4,9,3.0,1,128,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/battleship/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,30,179,3,1,4,9,3.0,1,128,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,73,433,6,1,6,16,2.6666666666666665,4,196,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,higher_complexity_half,73,433,6,1,6,16,2.6666666666666665,4,196,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,CareMessages,weixin-mp/src/main/java/com/riversoft/weixin/mp/care/CareMessages.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,126,1167,23,21,3,25,1.0869565217391304,1,117,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,43105609,43105609,CareMessages,weixin-mp/src/main/java/com/riversoft/weixin/mp/care/CareMessages.java,weixin-mp,maven:weixin-mp,Maven,1.8,lower_complexity_half,126,1167,23,21,3,25,1.0869565217391304,1,117,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
11,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/media/materials.java,43105609,43105609,Materials,weixin-mp/src/main/java/com/riversoft/weixin/mp/media/Materials.java,weixin-mp,maven:weixin-mp,Maven,1.8,higher_complexity_half,243,1985,36,33,4,46,1.2777777777777777,3,163,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
11,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/media/materials.java,43105609,43105609,Materials,weixin-mp/src/main/java/com/riversoft/weixin/mp/media/Materials.java,weixin-mp,maven:weixin-mp,Maven,1.8,higher_complexity_half,243,1985,36,33,4,46,1.2777777777777777,3,163,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,44308560,44308560,ArgumentsFile,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/ArgumentsFile.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,lower_complexity_half,85,729,9,1,4,17,1.8888888888888888,1,147,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,44308560,44308560,ArgumentsFile,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/ArgumentsFile.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,lower_complexity_half,85,729,9,1,4,17,1.8888888888888888,1,147,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
13,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/stackframevariables.java,44308560,44308560,StackFrameVariables,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/StackFrameVariables.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,higher_complexity_half,132,1278,12,8,8,29,2.4166666666666665,3,238,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
13,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/stackframevariables.java,44308560,44308560,StackFrameVariables,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/StackFrameVariables.java,src/RobotFrameworkCore/org.robotframework.ide.core-functions,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,Maven,1.8,higher_complexity_half,132,1278,12,8,8,29,2.4166666666666665,3,238,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
14,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,ResourceWrapper,WebRex/src/main/java/com/ebayopensource/webrex/resource/ResourceWrapper.java,WebRex,maven:WebRex,Maven,1.7,lower_complexity_half,76,408,16,15,1,16,1.0,8,37,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
14,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,45997449,45997449,ResourceWrapper,WebRex/src/main/java/com/ebayopensource/webrex/resource/ResourceWrapper.java,WebRex,maven:WebRex,Maven,1.7,lower_complexity_half,76,408,16,15,1,16,1.0,8,37,pilot60,evosuite,evosuite,-,1,ok,,45.0,31.25,0.0,0.0,45.0,31.25,0.0
15,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/resourceelevaluator.java,45997449,45997449,ResourceELEvaluator,WebRex/src/main/java/com/ebayopensource/webrex/resource/expression/ResourceELEvaluator.java,WebRex,maven:WebRex,Maven,1.7,higher_complexity_half,87,602,8,5,5,20,2.5,1,185,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0
15,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/resourceelevaluator.java,45997449,45997449,ResourceELEvaluator,WebRex/src/main/java/com/ebayopensource/webrex/resource/expression/ResourceELEvaluator.java,WebRex,maven:WebRex,Maven,1.7,higher_complexity_half,87,602,8,5,5,20,2.5,1,185,pilot60,evosuite,evosuite,-,1,ok,91.67,93.02,100.0,57.14,91.67,93.02,100.0,57.14
